SupplierID,SupplierName,Country,Category,LeadTimeDays,SupplierRating,PaymentTerms,Email
58,"Hernandez, Thompson and Boyd",South Korea,Electronics,23,3.87,Net 60,christina87@graham-simon.com
59,Christian-Rivas,India,Accessories,7,4.13,Net 60,ramirezshannon@hudson-barnett.com
60,Snyder LLC,Japan,Furniture,11,4.5,Net 45,tonykelly@peterson-beard.com
61,"Smith, Vaughan and Miller",Germany,Furniture,17,3.7,Net 60,wfreeman@vaughn.info
62,Mcguire-Davis,USA,Networking,15,4.89,Net 30,richardsanchez@perkins.biz
63,"Pierce, Bell and Chavez",India,Networking,24,5.0,Net 30,john13@wilson-herrera.com
64,Robinson Group,China,Accessories,11,4.26,Net 30,jenny89@hooper-wall.com
65,Ward LLC,Japan,Electronics,12,4.05,Net 30,ericksondavid@mccann.com
66,"Raymond, Little and Mullins",Malaysia,Accessories,27,3.95,Net 60,salasaudrey@mendoza-peterson.com
67,Everett-Woods,India,Accessories,14,4.9,Net 30,moralescharles@parks.com
68,Mcknight Inc,Vietnam,Furniture,8,4.83,Net 60,yobrien@perez.info
69,Dalton-Branch,Vietnam,Furniture,14,4.41,Net 60,ashley09@garcia.com
70,"Miller, Allen and Arnold",Japan,Office Supplies,26,4.45,Net 45,aaronhayes@harrison.com
71,"Heath, Jones and Hall",Malaysia,Furniture,6,3.64,Net 45,kristin93@wilson-walker.com
72,Serrano-Jones,USA,Electronics,5,4.0,Net 30,lauralarson@morse.com
73,"Powell, Nelson and Fernandez",USA,Office Supplies,28,4.16,Net 60,cmiller@navarro-munoz.com
74,Perez Ltd,South Korea,Accessories,5,3.67,Net 60,keyemily@johnston-hines.com
75,Stone-Ramos,Vietnam,Accessories,6,4.75,Net 60,howard96@olsen.biz
76,Morris-Garcia,Vietnam,Networking,9,3.56,Net 45,marksteele@bates-morales.net
77,Gibson LLC,India,Furniture,11,4.52,Net 60,marcus68@sandoval.info
78,Brown-Stone,China,Furniture,29,4.34,Net 45,wgarrett@harris.com
79,Kim-Wolfe,Vietnam,Office Supplies,10,4.96,Net 30,johnsoncrystal@mckinney.net
80,Tran Inc,South Korea,Electronics,10,4.6,Net 45,victoriadurham@valentine-holland.com
