CustomerID,CustomerName,City,State,CustomerType,Email
50,"Wali, Nadig and Savant",Motihari,Manipur,Wholesale,vaishnavisengupta@example.com
51,Malhotra PLC,Mathura,Himachal Pradesh,Corporate,tbrahmbhatt@example.com
52,Magar LLC,Panvel,Assam,Wholesale,matthewkashyap@example.com
53,"Dua, Kala and Bhatt",Vellore,Karnataka,Retail,dsagar@example.org
54,Ramachandran-Bahri,Morena,Andhra Pradesh,Corporate,chanchal66@example.net
55,"Kannan, Sura and Kanda",Junagadh,Meghalaya,Wholesale,ramachandrangayathri@example.net
56,"Ravel, Gandhi and Sibal",Deoghar,Andhra Pradesh,Corporate,fbala@example.net
57,Deshmukh-Shenoy,Dhanbad,Himachal Pradesh,Retail,nnarang@example.com
58,Nazareth-Raghavan,Bidar,Himachal Pradesh,Wholesale,singhalanirudh@example.net
59,"Ben, Palla and Kapur",Thane,Tripura,Retail,kotaryan@example.org
60,"Dua, Khare and Date",Raipur,Odisha,Corporate,udyatikunda@example.com
61,Contractor and Sons,Moradabad,Odisha,Wholesale,munikeya@example.com
62,"Issac, Borra and Kibe",Barasat,West Bengal,Corporate,barmanidika@example.net
63,Prabhakar-Biswas,Ahmedabad,West Bengal,Corporate,gsuri@example.com
64,Sharaf-Dua,Belgaum,Telangana,Wholesale,veda76@example.net
65,"Loyal, Naidu and Korpal",Alwar,Manipur,Corporate,ucchalraghavan@example.com
66,Talwar LLC,Morbi,Gujarat,Retail,aarna54@example.net
67,"Majumdar, Anne and Varughese",Guwahati,Haryana,Corporate,jsuresh@example.org
68,"Soni, Swaminathan and Sem",Tiruchirappalli,Jharkhand,Retail,nidhikohli@example.com
69,"Pillay, Solanki and Wali",Khandwa,Telangana,Retail,indira74@example.com
70,Kashyap-Dara,Satna,Bihar,Corporate,rehaankalita@example.net
71,Malhotra-Vohra,Salem,Uttarakhand,Retail,chamankaran@example.com
72,Mittal Inc,Panipat,Arunachal Pradesh,Wholesale,masterjonathan@example.net
73,Chauhan-Arora,Nandyal,Meghalaya,Retail,loak@example.org
74,Sridhar-Comar,Rewa,Meghalaya,Retail,beramax@example.org
75,"Modi, Chada and Kothari",Proddatur,Tripura,Retail,xkara@example.net
76,Seshadri-Savant,Giridih,Maharashtra,Wholesale,darpan91@example.org
77,"Kakar, Lalla and Bumb",Mathura,Goa,Wholesale,dugaraarnav@example.com
78,Singhal-Manne,Ahmednagar,Jharkhand,Wholesale,sudiksha13@example.com
79,"Hora, Sandal and Contractor",Jalgaon,Himachal Pradesh,Corporate,ekbalbhasin@example.org
80,Mani-Sarna,Bhind,Tamil Nadu,Wholesale,neha48@example.net
81,Sarma-Buch,Bhiwani,Telangana,Retail,zashil01@example.org
82,"Bail, Luthra and Baria",Nandyal,Mizoram,Wholesale,lmall@example.net
83,Swamy-Chand,Karnal,Maharashtra,Wholesale,ekani12@example.com
84,Tandon-Mani,Jamalpur,Arunachal Pradesh,Retail,uchakrabarti@example.com
85,D’Alia-Raval,Hosur,Manipur,Corporate,mbhagat@example.net
86,Tara-Sathe,Kurnool,Himachal Pradesh,Wholesale,bhavnasarma@example.net
87,Dara-Balakrishnan,Kozhikode,Jharkhand,Corporate,reddygirik@example.org
88,Shenoy Inc,Panchkula,Tamil Nadu,Corporate,yashodhara46@example.com
89,Kohli-Shan,Yamunanagar,Gujarat,Corporate,ekarajmajumdar@example.com
90,Tripathi-Loke,Ichalkaranji,Telangana,Retail,vrishti27@example.net
91,Pai-Natarajan,Sirsa,Karnataka,Corporate,williamrajagopal@example.org
92,Bassi-Nadkarni,Eluru,Madhya Pradesh,Corporate,warhibansal@example.org
93,"Narula, Chaudhry and Sarraf",Hajipur,Manipur,Retail,dhawannimrat@example.net
94,Borde Group,Sonipat,Punjab,Corporate,vbuch@example.net
95,"Rai, Nadig and Sura",Tadipatri,Assam,Corporate,bhavnakaran@example.net
96,Saraf Inc,Raiganj,Goa,Retail,ayush05@example.org
97,Parmer-Prasad,Ulhasnagar,Haryana,Retail,kgole@example.org
98,Raja PLC,Mehsana,Odisha,Wholesale,vincentshenoy@example.net
99,Sharaf-Kumer,Kirari Suleman Nagar,Jharkhand,Wholesale,ethansathe@example.com
100,"Mistry, Samra and Krishna",Barasat,Gujarat,Wholesale,gsubramanian@example.org
101,Parmer-Merchant,Lucknow,Uttarakhand,Corporate,amaharaj@example.net
102,"Bawa, Taneja and Mangat",Medininagar,Uttar Pradesh,Corporate,theodore39@example.com
103,"Devan, Chatterjee and Baral",Gandhidham,Arunachal Pradesh,Corporate,karan14@example.com
104,"Sagar, Gill and Iyer",Panvel,Kerala,Retail,nitesh47@example.com
105,"Nigam, Contractor and Sidhu",Ajmer,Tripura,Corporate,mekhalapau@example.org
106,Atwal-Lalla,Malda,Kerala,Wholesale,lakshmi51@example.net
107,Sinha Inc,Phagwara,Haryana,Retail,shettychasmum@example.net
108,Dada-Dey,Agra,Jharkhand,Retail,gdalia@example.org
109,"Deshmukh, Rama and Setty",Panvel,Maharashtra,Retail,oeshichaudhary@example.com
110,"Reddy, Mammen and Bali",Bellary,Manipur,Wholesale,xkeer@example.org
111,"Pillai, Parmer and Bhat",Bally,Gujarat,Wholesale,shagavin@example.net
112,Bail Inc,Latur,Chhattisgarh,Wholesale,ekapadjohal@example.net
113,Kaul LLC,Kavali,Andhra Pradesh,Retail,maanav28@example.com
114,Choudhary Ltd,Mira-Bhayandar,Andhra Pradesh,Retail,wazir95@example.org
115,Lanka Inc,Bidar,Mizoram,Corporate,bhattvamakshi@example.com
116,Varghese-Chopra,Ambala,Haryana,Corporate,vermacharvi@example.com
117,"Balasubramanian, Bhat and Srinivas",Purnia,Sikkim,Wholesale,swaminathansachi@example.org
118,Nagy PLC,Amritsar,Chhattisgarh,Retail,ekta69@example.net
119,Setty-Tiwari,Navi Mumbai,Uttar Pradesh,Corporate,kalequshi@example.com
120,Sachdev LLC,Silchar,Maharashtra,Wholesale,munshiprisha@example.com
121,"Kumer, Prasad and Dua",Jabalpur,Assam,Wholesale,chanderrachana@example.org
122,"Pradhan, De and Bhasin",Bhilai,Maharashtra,Corporate,pallavi04@example.net
123,Pandey-Chawla,Bhatpara,Sikkim,Wholesale,gkapur@example.com
124,"Pillai, Contractor and Mallick",Haldia,West Bengal,Retail,lokeayush@example.org
125,More-Nori,Chennai,Goa,Wholesale,nandiniboase@example.org
126,"Balasubramanian, Chand and Wali",Gandhinagar,Maharashtra,Retail,kom@example.com
127,Nair-Chad,Bhatpara,Goa,Retail,bumbanita@example.com
128,"Samra, Sunder and Sathe",Darbhanga,Gujarat,Corporate,paiqushi@example.org
129,Sur-Vyas,Ranchi,Haryana,Corporate,abhakta@example.org
130,Kakar-Devan,Ramagundam,Karnataka,Corporate,amblewidisha@example.net
131,Gill-Dayal,Katihar,Tamil Nadu,Wholesale,xitipandya@example.org
132,Basak-Sarin,Jaunpur,Assam,Corporate,pushti96@example.net
133,"Sahni, Mann and Contractor",Jaipur,Karnataka,Corporate,trivenipathak@example.org
134,Cherian-Kohli,Giridih,Madhya Pradesh,Wholesale,randhawadayita@example.net
135,Kant-Nath,Solapur,Mizoram,Corporate,waliyashvi@example.org
136,Panchal-Divan,Kota,Chhattisgarh,Wholesale,rudra29@example.org
137,"Borra, Goel and Tak",Phusro,Tripura,Wholesale,onaidu@example.com
138,Sarraf Inc,Mango,Rajasthan,Retail,anvi90@example.com
139,"Borah, Mukherjee and Shenoy",Agra,Arunachal Pradesh,Retail,bhavini11@example.net
140,"Tripathi, Rajagopalan and Shere",Hospet,Uttar Pradesh,Corporate,ekantasoni@example.net
141,Bhatia Group,Tiruvottiyur,Tamil Nadu,Wholesale,thamanorinder@example.org
142,Sarma Group,Bharatpur,Kerala,Retail,lila65@example.net
143,"Ben, Natt and Bhatti",Bareilly,Nagaland,Retail,qmander@example.net
144,"Doctor, Nath and Bumb",Etawah,Jharkhand,Retail,mdayal@example.net
145,Mukherjee PLC,Ozhukarai,Uttarakhand,Retail,giriksampath@example.net
146,Badami-Patil,Bokaro,Gujarat,Corporate,vedika33@example.org
147,Brahmbhatt LLC,Guna,Tripura,Retail,nayarkaran@example.net
148,Dube-Gaba,Dehradun,Telangana,Corporate,abassi@example.com
149,"Khanna, Sawhney and Mane",Muzaffarpur,Nagaland,Wholesale,dayamaisingh@example.org
150,Sastry-Shenoy,Eluru,Mizoram,Corporate,medwin@example.net
151,Krishna Inc,Serampore,Nagaland,Retail,vartyjeet@example.com
152,Dyal LLC,Anand,Chhattisgarh,Wholesale,ochand@example.com
153,Bala-Sachdeva,Tenali,Mizoram,Wholesale,warinder61@example.com
154,Bala LLC,Thanjavur,Uttar Pradesh,Corporate,lakshbarad@example.com
155,Dewan-Singh,Tadepalligudem,Andhra Pradesh,Wholesale,bahlaahana@example.org
156,Wable Group,Tumkur,Haryana,Corporate,jairaj03@example.com
157,"Shankar, Bhatnagar and Choudhry",Kavali,Nagaland,Wholesale,varmawyatt@example.net
158,Manne Group,Srikakulam,Kerala,Corporate,omajagrover@example.net
159,"Chada, Viswanathan and Patel",Hajipur,Nagaland,Retail,ramakrishnanupma@example.org
160,"Ram, Prakash and Kulkarni",Raurkela Industrial Township,Uttar Pradesh,Corporate,paiwridesh@example.net
161,"Chawla, Natarajan and Deol",Nagercoil,Nagaland,Corporate,parth77@example.net
162,Deshmukh Inc,Vadodara,Jharkhand,Retail,calebiyengar@example.org
163,Mukherjee-Varma,Tinsukia,Meghalaya,Corporate,balhaar34@example.com
164,Narula LLC,Arrah,Maharashtra,Corporate,ysarraf@example.com
165,Taneja Ltd,Arrah,Uttar Pradesh,Wholesale,fitan61@example.com
166,"Gole, Memon and Nagi",Vijayawada,Karnataka,Corporate,damini79@example.net
167,Ganesan-Sawhney,Amroha,Arunachal Pradesh,Wholesale,radhika40@example.org
168,"Ravi, Patla and Varghese",Ludhiana,Chhattisgarh,Retail,ibanerjee@example.org
169,Peri LLC,Tezpur,Arunachal Pradesh,Wholesale,shivaniprabhakar@example.com
170,Bose-Devan,Sikar,Karnataka,Wholesale,zaid10@example.net
171,Tata PLC,Kishanganj,Bihar,Retail,abha73@example.net
172,Swaminathan-Iyengar,Bhavnagar,West Bengal,Wholesale,sethorinder@example.net
173,Chahal-Nagarajan,Amritsar,Nagaland,Retail,charita22@example.com
174,"Kapur, Dara and Iyer",Patiala,Uttar Pradesh,Corporate,xbal@example.net
175,"Pillay, Sibal and Dayal",Amritsar,Jharkhand,Corporate,hsrinivas@example.com
176,Borah-Dass,Srinagar,Manipur,Wholesale,wvarughese@example.org
177,"Gopal, Dayal and Sant",Amravati,Mizoram,Corporate,dakshagala@example.org
178,Kar-Pal,Vijayawada,Himachal Pradesh,Retail,anvidass@example.net
179,Walla-Chander,Guntakal,Odisha,Corporate,onveernazareth@example.net
180,Balakrishnan Inc,Gangtok,Himachal Pradesh,Retail,omajabalasubramanian@example.com
181,"Mann, Mittal and Subramanian",Machilipatnam,Jharkhand,Corporate,sbora@example.org
182,Sarraf Group,Madhyamgram,Gujarat,Wholesale,maanas55@example.net
183,Rastogi-De,Kottayam,Nagaland,Corporate,nagarwyatt@example.com
184,Loke Group,Ajmer,Bihar,Corporate,mannanleena@example.net
185,Kothari-Dutta,Gangtok,Telangana,Corporate,ranveer27@example.net
186,Tara-Morar,Lucknow,Assam,Retail,dtiwari@example.org
187,Pandit Inc,Ichalkaranji,Meghalaya,Retail,imangal@example.org
188,Sankar and Sons,Ambarnath,Tripura,Wholesale,cpau@example.com
189,Hayer LLC,Srinagar,Madhya Pradesh,Retail,nmammen@example.net
190,"Dani, Dave and Chatterjee",Dindigul,Uttar Pradesh,Corporate,jasmit23@example.net
191,"Ratti, Tella and Baria",Agra,Chhattisgarh,Corporate,urvi87@example.org
192,"Varma, Dey and Narang",Ujjain,Madhya Pradesh,Retail,gayathri88@example.net
193,Mistry-Soman,Arrah,Karnataka,Corporate,sahadarika@example.net
194,"Bala, Som and Lanka",Faridabad,Odisha,Wholesale,hgarde@example.net
195,"Rai, Divan and Kibe",Chapra,Tamil Nadu,Wholesale,halderanirudh@example.com
196,Sahota-Doshi,Kurnool,Maharashtra,Retail,tbhatia@example.org
197,"Johal, Nair and Sridhar",Satara,Goa,Retail,vwalia@example.net
198,Lalla-Sule,Shahjahanpur,Himachal Pradesh,Wholesale,umang44@example.net
199,Suresh LLC,Karnal,Nagaland,Wholesale,bhavna19@example.net
200,"Raghavan, Rana and Pai",Ramagundam,Arunachal Pradesh,Retail,farhan57@example.net
201,Srinivas-Kala,Siwan,Himachal Pradesh,Retail,laksh19@example.net
202,"Khatri, Kibe and Bedi",Muzaffarpur,Arunachal Pradesh,Retail,sachdevganga@example.net
203,Chaudhry-Devan,Jamalpur,Goa,Corporate,esoni@example.net
204,Mani LLC,Allahabad,Tripura,Retail,katabaljiwan@example.org
205,Goda-Bansal,Shimla,Goa,Retail,baljiwan04@example.net
206,"Chhabra, Nayak and Mane",Tinsukia,Mizoram,Corporate,gdesai@example.com
207,Hans-Chowdhury,Ujjain,Telangana,Wholesale,tkurian@example.org
208,Nazareth LLC,Akola,Punjab,Retail,gsane@example.com
209,Rattan Ltd,Udaipur,Chhattisgarh,Corporate,pnaik@example.org
210,Rajagopal-Keer,Shimoga,Karnataka,Retail,advay45@example.net
211,Bhatia Ltd,Kirari Suleman Nagar,Jharkhand,Retail,nidrathakkar@example.net
212,Dalal-Merchant,Srikakulam,Haryana,Corporate,kiaansridhar@example.org
213,Prakash-Sagar,Siwan,Uttar Pradesh,Wholesale,yugbumb@example.net
214,Wable-Pathak,Phusro,Bihar,Corporate,tiwarisamaksh@example.net
215,"Doctor, Gala and Narang",Bhiwandi,Sikkim,Retail,vrindachand@example.net
216,Bhakta-Setty,Anand,Maharashtra,Wholesale,jbhardwaj@example.com
217,"Morar, Bains and Randhawa",Delhi,Telangana,Corporate,elijahbath@example.com
218,Bhatt-Bhasin,Chittoor,Arunachal Pradesh,Corporate,nilima22@example.net
219,"Salvi, Prasad and Raja",Burhanpur,Madhya Pradesh,Wholesale,zachariakiaan@example.net
220,Dani-Gokhale,Dehri,Chhattisgarh,Retail,aarushbajaj@example.com
221,Samra-Wali,Berhampur,Haryana,Corporate,jpal@example.com
222,Chowdhury Inc,Srikakulam,Tripura,Corporate,khoslasamuel@example.org
223,Bandi Group,Sambalpur,Telangana,Corporate,rattireva@example.org
224,"Kalla, Bhalla and Dey",Muzaffarpur,Uttarakhand,Retail,ekani34@example.org
225,"Verma, Kant and Sachdev",Panipat,Arunachal Pradesh,Corporate,prishatandon@example.org
226,Raj-Vohra,Erode,Maharashtra,Wholesale,charitapuri@example.org
227,"Solanki, Khosla and Kar",Asansol,Uttar Pradesh,Wholesale,jbhardwaj@example.com
228,Wagle-Desai,Latur,Himachal Pradesh,Corporate,gangabrar@example.com
229,Chanda-Wason,Faridabad,Himachal Pradesh,Corporate,ebaral@example.org
230,"Kalla, Srinivas and Joshi",Avadi,Andhra Pradesh,Wholesale,ranveerdalal@example.net
231,Kibe-Jayaraman,Mathura,Nagaland,Wholesale,barkha67@example.net
232,"Parmer, Morar and Lal",Anand,Meghalaya,Corporate,zchaudhari@example.net
233,Nagarajan-Jani,Satara,Maharashtra,Wholesale,kantmadhav@example.org
234,Sahni-Merchant,Thiruvananthapuram,Karnataka,Retail,ladlikorpal@example.com
235,"Nazareth, Kurian and Suresh",Jaunpur,Goa,Retail,omkaar28@example.com
236,Bhargava PLC,Aurangabad,Uttarakhand,Retail,ahujanitara@example.org
237,"Kashyap, Bir and Dora",Bellary,Mizoram,Retail,dprakash@example.net
238,"Subramanian, Sura and Babu",Katihar,Nagaland,Wholesale,barora@example.net
239,"Maharaj, Wason and Mangat",Ambala,Uttarakhand,Retail,ggola@example.org
240,"Dixit, Khosla and Handa",Raichur,Himachal Pradesh,Corporate,xbrar@example.com
241,Kohli-Kara,Jodhpur,Rajasthan,Corporate,chandernidra@example.com
242,Soni-Bhalla,Tirunelveli,Assam,Retail,psaraf@example.com
243,"Chandran, Wable and Basak",Rajpur Sonarpur,West Bengal,Corporate,cmadan@example.org
244,"Mand, Bali and Gola",Pune,Gujarat,Retail,mitalibose@example.com
245,Khosla PLC,Panvel,Karnataka,Retail,ydey@example.net
246,"Brar, Tella and Pal",Navi Mumbai,Maharashtra,Retail,faqidoak@example.net
247,"Ranganathan, Narain and Balan",Hospet,Meghalaya,Corporate,ishaniprashad@example.com
248,Rai Inc,Shahjahanpur,Tamil Nadu,Corporate,butalaamrita@example.org
249,Dube-Ramachandran,Karimnagar,Bihar,Retail,ahluwaliadarika@example.com
250,Madan-Chaudry,Chandigarh,Goa,Retail,jsen@example.net
251,"Reddy, Chauhan and Bal",Raichur,Nagaland,Retail,nairlekha@example.org
252,Sachdev-Rama,Karaikudi,Haryana,Retail,lajitagara@example.org
253,Mitra-Loyal,Ulhasnagar,Assam,Wholesale,radhikamajumdar@example.com
254,Sule-Bose,Chandrapur,Haryana,Retail,dhayre@example.org
255,Modi Inc,Thoothukudi,Uttarakhand,Corporate,cnarayan@example.com
256,Deshpande-Mital,Madanapalle,Tamil Nadu,Retail,varenyamurthy@example.org
257,Nagar-Manne,Ramgarh,Uttar Pradesh,Wholesale,eshanapuri@example.com
258,Patla-Comar,Guntakal,Nagaland,Corporate,avishenoy@example.net
259,Sarma LLC,Alappuzha,Sikkim,Wholesale,odewan@example.com
260,Krishnan Ltd,Bhusawal,Uttar Pradesh,Retail,cborah@example.net
261,Rattan-Warrior,Tinsukia,Arunachal Pradesh,Corporate,frederick13@example.net
262,"Pant, Ganesan and Basu",Bathinda,Uttar Pradesh,Retail,acherian@example.org
263,Kapadia-Uppal,Amroha,Kerala,Corporate,xsheth@example.net
264,"Tella, Dora and Pai",Karawal Nagar,Bihar,Corporate,ojasvi11@example.net
265,Pall LLC,Sirsa,Uttar Pradesh,Corporate,vasudhapall@example.com
266,Sarma Ltd,Imphal,Assam,Wholesale,chaitanya10@example.com
267,"Chopra, Gala and Kohli",Suryapet,Goa,Retail,pooja73@example.com
268,"Gour, Grewal and Sankaran",Bhopal,Telangana,Wholesale,shivanisanghvi@example.com
269,Kala and Sons,Rajkot,Odisha,Wholesale,yadavrachit@example.com
270,Hegde-Shankar,Firozabad,Sikkim,Retail,owable@example.com
271,"Rama, Ramanathan and Comar",Nagercoil,West Bengal,Retail,rgera@example.net
272,Chad-Desai,Kochi,Haryana,Retail,jackson25@example.net
273,Vaidya Group,Kavali,Chhattisgarh,Corporate,lsampath@example.com
274,"Yogi, Ghose and Ganesan",Tumkur,Chhattisgarh,Wholesale,divyaseshadri@example.net
275,Parmer Inc,Bhavnagar,Gujarat,Wholesale,ptiwari@example.com
276,Swamy-Sagar,Unnao,Goa,Wholesale,balasubramanianthomas@example.com
277,Maharaj and Sons,Gulbarga,Tripura,Wholesale,jtandon@example.net
278,Comar LLC,Hosur,Uttarakhand,Wholesale,sastrytejas@example.com
279,Kota LLC,Hospet,Himachal Pradesh,Corporate,gagan71@example.org
280,Panchal Ltd,Dehradun,Punjab,Retail,samueljhaveri@example.org
281,"Panchal, Walia and Mand",North Dumdum,Tamil Nadu,Corporate,bimala94@example.net
282,"Chandran, Deshmukh and Sabharwal",Bally,West Bengal,Corporate,kevinkrish@example.org
283,"Nagy, Kota and Ramaswamy",Ajmer,Odisha,Corporate,oeshi67@example.org
284,"Chander, Rau and Varma",Arrah,Manipur,Retail,lnarang@example.org
285,"Chander, Shanker and Parmar",Deoghar,Madhya Pradesh,Retail,pushtikakar@example.com
286,Naidu-Mander,Motihari,Odisha,Wholesale,vedhikaoza@example.net
287,Batra Inc,Pune,Bihar,Corporate,ridhishan@example.org
288,Jain-Deo,Kozhikode,West Bengal,Wholesale,girik54@example.org
289,Gandhi-Ben,Farrukhabad,Telangana,Retail,pushtichand@example.net
290,Agarwal and Sons,Solapur,Chhattisgarh,Retail,zilmilsaxena@example.org
291,Oza Inc,Mira-Bhayandar,Meghalaya,Retail,karnikleela@example.org
292,"Chaudry, Chauhan and Munshi",Dewas,Chhattisgarh,Retail,pdeol@example.net
293,Biswas PLC,Phagwara,Rajasthan,Corporate,riapanchal@example.net
294,Doshi Group,Bellary,Assam,Wholesale,deyjatin@example.net
295,"Rajagopalan, Panchal and Sanghvi",Kolhapur,Haryana,Retail,frado38@example.net
296,"Mane, Bala and Mitra",Kadapa,Punjab,Wholesale,manyamerchant@example.net
297,Khatri Group,Gorakhpur,Haryana,Retail,hbobal@example.org
298,Nadig-Deo,Jehanabad,Maharashtra,Wholesale,orinder71@example.org
299,"Bir, Atwal and Lala",Thane,Arunachal Pradesh,Wholesale,stoor@example.net
300,"Thaker, Sagar and Sampath",Gwalior,Rajasthan,Retail,arunimachacko@example.com
301,Vaidya and Sons,Jorhat,Karnataka,Retail,tbhatti@example.net
302,Khare-Bhardwaj,Chandigarh,Maharashtra,Wholesale,settychristopher@example.com
303,"Gill, Dar and Arora",Hyderabad,Goa,Corporate,hpalan@example.net
304,"Lad, Ganesan and Prabhu",Agartala,Telangana,Retail,balangautami@example.com
305,Viswanathan-Bhatt,Gangtok,Rajasthan,Retail,tanejatamanna@example.net
306,Bhakta-Tata,Arrah,Goa,Corporate,harshil91@example.org
307,"Upadhyay, Agate and Basu",Sambalpur,Arunachal Pradesh,Corporate,ypatla@example.org
308,Banik PLC,Rajahmundry,Karnataka,Retail,omajanagarajan@example.com
309,Pradhan Inc,Mangalore,Haryana,Retail,rattanekapad@example.com
310,Mukhopadhyay-Narang,Begusarai,Manipur,Retail,pillaysai@example.com
311,"Modi, Kibe and Shetty",Gudivada,Meghalaya,Retail,yatandora@example.org
312,Bajwa-Kaul,Bangalore,Karnataka,Wholesale,puridamyanti@example.org
313,Wagle and Sons,Pallavaram,Arunachal Pradesh,Wholesale,atichander@example.org
314,Venkatesh Group,Berhampore,Telangana,Wholesale,chandranyashasvi@example.org
315,"Ramesh, Borde and Bhatia",Bikaner,Haryana,Retail,advika56@example.net
316,"Narain, Nadkarni and Sethi",Muzaffarpur,Assam,Wholesale,labanchopra@example.org
317,Gala Group,Satara,Maharashtra,Retail,wasonishita@example.org
318,Morar-Sheth,Jamshedpur,Assam,Retail,dakshabaria@example.org
319,Divan-Chand,Raurkela Industrial Township,Madhya Pradesh,Wholesale,mistryabha@example.org
320,Ravel Group,Bareilly,Manipur,Retail,deyjairaj@example.org
321,Kapadia and Sons,Rewa,Kerala,Wholesale,ladfalan@example.org
322,Hora Ltd,Warangal,Assam,Wholesale,jason07@example.org
323,Sant Ltd,Mehsana,Andhra Pradesh,Wholesale,lsandhu@example.com
324,Grover LLC,Amroha,Chhattisgarh,Wholesale,korpalchakrika@example.com
325,Srinivas-Bhat,Parbhani,Madhya Pradesh,Wholesale,oniiyengar@example.net
326,"Krish, Bahl and Raja",Nangloi Jat,Nagaland,Corporate,kpadmanabhan@example.net
327,Rama-Madan,Indore,Karnataka,Corporate,ayushmanmand@example.org
328,Wagle-Parmar,Kozhikode,Bihar,Corporate,wrideshlata@example.net
329,"Bhalla, Kanda and Rama",Malegaon,Goa,Corporate,eeshaparmer@example.net
330,Pandey PLC,Phusro,Gujarat,Corporate,lmore@example.com
331,Chana Inc,Madanapalle,Haryana,Wholesale,vyasvanya@example.org
332,Jaggi-De,Belgaum,Uttar Pradesh,Retail,daniel02@example.net
333,"Dhar, Choudhry and Vora",Srinagar,Kerala,Retail,vchaudhuri@example.com
334,Deshpande-Dugar,Morbi,Rajasthan,Wholesale,owen89@example.com
335,Gill Group,Durg,Chhattisgarh,Retail,aaravraman@example.net
336,Gopal PLC,Pudukkottai,Haryana,Retail,tanejalohit@example.com
337,"Brahmbhatt, Khanna and Palan",Rourkela,Rajasthan,Corporate,nayaksanya@example.org
338,Kadakia-Krish,Etawah,Himachal Pradesh,Corporate,agarwalchanakya@example.com
