PurchaseOrderID,SupplierID,WarehouseID,OrderDate,ExpectedDeliveryDate,Status
100045,56,3,2025-04-19,2025-05-07,Delivered
100046,7,1,2025-01-16,2025-02-02,Delivered
100047,14,2,2025-02-19,2025-03-02,Delivered
100048,18,4,2025-02-16,2025-03-01,Delivered
100049,10,4,2025-05-21,2025-05-29,Pending
100050,70,1,2025-01-24,2025-02-05,Shipped
100051,63,4,2025-02-24,2025-03-13,Delivered
100052,22,4,2025-01-01,2025-01-18,Shipped
100053,59,3,2025-04-19,2025-05-11,Delivered
100054,63,2,2025-02-18,2025-03-04,Shipped
100055,8,5,2025-05-19,2025-05-25,Delivered
100056,8,1,2025-05-30,2025-06-19,Delivered
100057,68,2,2025-01-15,2025-02-05,Pending
100058,24,1,2025-06-02,2025-06-09,Delivered
100059,31,4,2025-01-31,2025-02-23,Shipped
100060,77,1,2025-06-08,2025-06-15,Delivered
100061,75,5,2025-05-14,2025-05-29,Delivered
100062,27,3,2025-03-03,2025-03-16,Delivered
100063,39,4,2025-03-22,2025-03-29,Pending
100064,80,5,2025-01-26,2025-02-02,Delivered
100065,65,3,2025-02-03,2025-02-19,Delivered
100066,32,3,2025-03-14,2025-03-24,Delivered
100067,70,3,2025-06-06,2025-07-01,Delivered
100068,71,3,2025-06-19,2025-06-27,Delivered
100069,18,3,2025-01-30,2025-02-07,Delivered
100070,20,3,2025-03-14,2025-04-07,Shipped
100071,44,2,2025-06-25,2025-07-20,Delivered
100072,65,4,2025-03-06,2025-03-12,Pending
100073,55,3,2025-01-12,2025-01-17,Delivered
100074,17,3,2025-02-11,2025-03-02,Delivered
100075,55,5,2025-01-03,2025-01-11,Pending
100076,20,5,2025-01-10,2025-01-26,Delivered
100077,19,4,2025-02-02,2025-02-08,Delivered
100078,6,3,2025-02-23,2025-03-07,Delivered
100079,46,5,2025-04-15,2025-05-09,Delivered
100080,31,2,2025-02-15,2025-03-05,Pending
100081,43,4,2025-06-21,2025-07-03,Shipped
100082,14,4,2025-01-10,2025-01-30,Shipped
100083,59,3,2025-03-20,2025-04-01,Shipped
100084,25,4,2025-03-26,2025-04-08,Delivered
100085,36,3,2025-06-14,2025-07-05,Delivered
100086,69,3,2025-01-08,2025-01-16,Delivered
100087,34,2,2025-05-29,2025-06-11,Pending
100088,77,4,2025-03-30,2025-04-14,Delivered
100089,66,1,2025-04-09,2025-05-02,Shipped
100090,6,4,2025-01-01,2025-01-22,Delivered
100091,69,2,2025-04-04,2025-04-22,Pending
100092,43,5,2025-03-22,2025-03-30,Delivered
100093,39,5,2025-03-21,2025-04-08,Delivered
100094,38,5,2025-02-02,2025-02-13,Delivered
100095,49,2,2025-06-07,2025-06-30,Delivered
100096,71,1,2025-03-19,2025-04-02,Shipped
100097,75,5,2025-06-17,2025-07-02,Delivered
100098,57,2,2025-05-11,2025-05-31,Delivered
100099,22,1,2025-03-14,2025-04-04,Delivered
100100,80,3,2025-01-24,2025-02-05,Delivered
100101,29,2,2025-02-07,2025-02-12,Pending
100102,61,5,2025-01-19,2025-02-07,Delivered
100103,74,2,2025-06-28,2025-07-15,Delivered
100104,32,2,2025-06-17,2025-06-22,Delivered
100105,14,4,2025-02-26,2025-03-08,Delivered
100106,67,4,2025-01-13,2025-02-04,Shipped
100107,16,4,2025-02-04,2025-02-23,Delivered
100108,72,5,2025-03-23,2025-04-11,Delivered
100109,65,4,2025-05-21,2025-06-09,Delivered
100110,61,4,2025-03-08,2025-03-20,Delivered
100111,36,5,2025-05-05,2025-05-30,Shipped
100112,57,1,2025-03-15,2025-03-27,Shipped
100113,41,5,2025-01-21,2025-01-30,Shipped
100114,50,2,2025-06-30,2025-07-11,Pending
100115,53,3,2025-05-19,2025-06-07,Delivered
100116,27,4,2025-04-10,2025-05-03,Delivered
100117,3,5,2025-04-08,2025-04-28,Pending
100118,46,3,2025-04-10,2025-04-28,Delivered
100119,70,5,2025-02-26,2025-03-18,Shipped
100120,56,4,2025-01-08,2025-01-25,Delivered
100121,52,2,2025-04-30,2025-05-09,Cancelled
100122,69,1,2025-04-11,2025-05-04,Delivered
100123,4,1,2025-06-14,2025-07-02,Shipped
100124,60,2,2025-01-13,2025-01-26,Delivered
100125,28,4,2025-03-25,2025-04-09,Delivered
100126,49,3,2025-04-18,2025-05-01,Delivered
100127,61,1,2025-05-19,2025-05-25,Cancelled
100128,45,2,2025-06-16,2025-06-23,Delivered
100129,6,1,2025-03-05,2025-03-16,Delivered
100130,80,2,2025-03-03,2025-03-12,Delivered
100131,15,5,2025-02-25,2025-03-16,Delivered
100132,48,2,2025-06-05,2025-06-29,Cancelled
100133,15,2,2025-03-21,2025-03-29,Delivered
100134,40,5,2025-06-23,2025-07-10,Delivered
100135,26,1,2025-06-01,2025-06-26,Shipped
100136,39,5,2025-01-31,2025-02-23,Delivered
100137,45,5,2025-04-20,2025-05-06,Pending
100138,44,1,2025-04-18,2025-05-08,Shipped
100139,47,4,2025-02-09,2025-02-27,Shipped
100140,67,3,2025-06-07,2025-06-29,Delivered
100141,60,4,2025-06-01,2025-06-14,Delivered
100142,32,1,2025-03-13,2025-04-01,Shipped
100143,60,5,2025-06-06,2025-06-23,Delivered
100144,64,3,2025-02-16,2025-03-08,Shipped
100145,34,3,2025-03-13,2025-04-06,Delivered
100146,36,5,2025-01-03,2025-01-24,Delivered
100147,11,2,2025-04-15,2025-05-05,Delivered
100148,31,4,2025-06-15,2025-07-05,Delivered
100149,3,1,2025-03-17,2025-03-29,Delivered
100150,32,3,2025-06-19,2025-07-12,Delivered
100151,71,5,2025-03-30,2025-04-17,Cancelled
100152,71,3,2025-04-01,2025-04-20,Shipped
100153,33,2,2025-01-31,2025-02-11,Delivered
100154,69,2,2025-02-19,2025-03-02,Delivered
100155,36,5,2025-05-15,2025-06-08,Shipped
100156,13,2,2025-03-17,2025-03-29,Delivered
100157,39,1,2025-05-17,2025-05-26,Shipped
100158,7,5,2025-03-16,2025-03-25,Delivered
100159,63,1,2025-01-04,2025-01-27,Shipped
100160,62,4,2025-03-29,2025-04-08,Cancelled
100161,33,4,2025-01-30,2025-02-06,Delivered
100162,10,5,2025-06-11,2025-06-17,Shipped
100163,73,3,2025-01-22,2025-02-03,Shipped
100164,54,5,2025-06-02,2025-06-26,Shipped
100165,67,4,2025-04-26,2025-05-15,Shipped
100166,76,4,2025-03-20,2025-04-12,Delivered
100167,79,1,2025-02-23,2025-03-20,Shipped
100168,11,2,2025-03-03,2025-03-13,Delivered
100169,21,1,2025-04-15,2025-05-04,Delivered
100170,61,3,2025-01-09,2025-01-21,Shipped
100171,37,4,2025-01-19,2025-01-31,Delivered
100172,76,2,2025-04-19,2025-04-27,Delivered
100173,20,3,2025-02-06,2025-02-13,Pending
100174,40,5,2025-05-26,2025-06-09,Delivered
100175,60,3,2025-06-29,2025-07-16,Delivered
100176,65,5,2025-05-07,2025-05-26,Pending
100177,6,4,2025-03-24,2025-04-17,Shipped
100178,12,2,2025-06-22,2025-07-15,Delivered
100179,3,3,2025-05-28,2025-06-03,Delivered
100180,23,4,2025-05-13,2025-06-07,Delivered
100181,36,2,2025-05-30,2025-06-17,Delivered
100182,63,1,2025-05-01,2025-05-17,Delivered
100183,42,1,2025-02-11,2025-02-26,Delivered
100184,64,3,2025-06-19,2025-07-06,Delivered
100185,71,1,2025-04-27,2025-05-04,Delivered
100186,42,1,2025-04-14,2025-05-05,Delivered
100187,1,5,2025-04-29,2025-05-17,Pending
100188,67,3,2025-06-09,2025-06-29,Delivered
100189,7,2,2025-03-10,2025-04-01,Shipped
100190,37,4,2025-06-28,2025-07-18,Shipped
100191,78,2,2025-02-10,2025-02-24,Delivered
100192,71,4,2025-01-24,2025-02-05,Cancelled
100193,15,4,2025-01-31,2025-02-25,Delivered
100194,64,3,2025-05-11,2025-05-24,Delivered
100195,62,4,2025-03-04,2025-03-23,Delivered
100196,50,2,2025-06-03,2025-06-24,Delivered
100197,18,1,2025-03-12,2025-03-30,Delivered
100198,65,3,2025-01-01,2025-01-15,Delivered
100199,76,5,2025-06-18,2025-07-08,Delivered
100200,58,5,2025-05-04,2025-05-20,Delivered
100201,70,4,2025-04-27,2025-05-12,Delivered
100202,31,5,2025-04-09,2025-04-21,Delivered
100203,53,1,2025-03-23,2025-04-12,Delivered
100204,49,4,2025-06-19,2025-07-14,Cancelled
100205,64,1,2025-02-02,2025-02-23,Cancelled
100206,43,1,2025-04-23,2025-05-01,Delivered
100207,59,1,2025-02-06,2025-02-24,Delivered
100208,20,1,2025-05-01,2025-05-14,Delivered
100209,51,1,2025-03-26,2025-04-17,Delivered
100210,41,4,2025-05-19,2025-05-25,Delivered
100211,31,3,2025-02-28,2025-03-07,Delivered
100212,13,1,2025-04-24,2025-05-04,Delivered
100213,4,1,2025-03-25,2025-03-31,Shipped
100214,48,4,2025-02-07,2025-02-19,Delivered
100215,73,2,2025-02-13,2025-02-23,Pending
100216,49,5,2025-06-24,2025-07-06,Delivered
100217,75,2,2025-03-01,2025-03-20,Delivered
100218,59,3,2025-06-20,2025-06-25,Delivered
100219,60,3,2025-06-23,2025-07-15,Shipped
100220,57,3,2025-05-31,2025-06-14,Delivered
100221,55,3,2025-04-27,2025-05-11,Shipped
100222,50,4,2025-01-28,2025-02-09,Delivered
100223,46,5,2025-03-17,2025-03-31,Pending
100224,51,3,2025-01-03,2025-01-26,Delivered
100225,7,5,2025-05-08,2025-05-22,Delivered
100226,30,5,2025-04-01,2025-04-13,Delivered
100227,80,3,2025-06-23,2025-07-02,Delivered
100228,6,3,2025-04-23,2025-04-29,Delivered
100229,17,1,2025-03-17,2025-04-01,Delivered
100230,23,2,2025-02-03,2025-02-25,Delivered
100231,47,5,2025-05-09,2025-05-22,Delivered
100232,33,4,2025-03-17,2025-04-01,Delivered
100233,60,1,2025-02-06,2025-02-18,Delivered
100234,51,5,2025-04-04,2025-04-11,Delivered
100235,2,3,2025-05-18,2025-05-26,Delivered
100236,34,5,2025-04-08,2025-05-03,Delivered
100237,14,2,2025-05-01,2025-05-06,Delivered
100238,72,3,2025-06-06,2025-06-18,Delivered
100239,60,3,2025-06-16,2025-07-04,Shipped
100240,6,1,2025-03-19,2025-04-08,Shipped
100241,31,5,2025-02-04,2025-02-21,Delivered
100242,70,4,2025-05-31,2025-06-09,Delivered
100243,13,4,2025-06-07,2025-06-25,Delivered
100244,36,1,2025-06-26,2025-07-12,Shipped
100245,57,2,2025-04-03,2025-04-11,Cancelled
100246,48,5,2025-06-15,2025-07-01,Pending
100247,36,2,2025-02-01,2025-02-20,Pending
100248,28,5,2025-01-06,2025-01-12,Delivered
100249,32,2,2025-05-25,2025-06-05,Pending
100250,71,2,2025-05-31,2025-06-11,Delivered
100251,30,3,2025-02-07,2025-03-03,Pending
100252,19,2,2025-05-19,2025-06-01,Delivered
100253,15,1,2025-02-03,2025-02-08,Delivered
100254,31,5,2025-03-24,2025-03-29,Shipped
100255,7,2,2025-04-18,2025-05-09,Shipped
100256,9,4,2025-04-25,2025-05-11,Delivered
100257,14,4,2025-05-09,2025-05-21,Delivered
100258,6,5,2025-03-19,2025-04-07,Delivered
100259,4,1,2025-05-03,2025-05-20,Delivered
100260,14,4,2025-04-24,2025-05-01,Delivered
100261,42,5,2025-02-07,2025-02-14,Shipped
100262,80,5,2025-05-21,2025-06-05,Delivered
100263,77,5,2025-03-17,2025-04-05,Delivered
100264,56,1,2025-06-29,2025-07-07,Delivered
100265,71,2,2025-04-21,2025-05-10,Delivered
100266,53,3,2025-04-27,2025-05-14,Delivered
100267,13,3,2025-04-20,2025-05-05,Delivered
100268,48,2,2025-06-25,2025-07-15,Pending
100269,11,1,2025-04-21,2025-04-29,Delivered
100270,48,2,2025-05-23,2025-05-29,Delivered
100271,72,5,2025-03-26,2025-04-03,Delivered
100272,55,1,2025-03-15,2025-04-08,Delivered
100273,14,5,2025-05-10,2025-05-21,Shipped
100274,62,2,2025-01-28,2025-02-13,Delivered
100275,48,1,2025-03-13,2025-04-05,Shipped
100276,55,5,2025-06-09,2025-07-03,Delivered
100277,72,1,2025-06-05,2025-06-18,Pending
100278,35,3,2025-03-28,2025-04-13,Pending
100279,19,5,2025-06-18,2025-07-05,Pending
100280,4,1,2025-05-16,2025-05-27,Delivered
100281,59,3,2025-02-10,2025-02-26,Delivered
100282,42,5,2025-06-02,2025-06-09,Delivered
100283,20,2,2025-06-08,2025-06-14,Delivered
100284,35,4,2025-06-19,2025-07-07,Delivered
100285,57,4,2025-03-11,2025-03-22,Delivered
100286,15,3,2025-04-21,2025-04-29,Shipped
100287,76,4,2025-05-15,2025-05-29,Pending
100288,51,5,2025-01-15,2025-01-20,Shipped
100289,28,2,2025-03-07,2025-03-21,Delivered
100290,1,4,2025-04-21,2025-05-01,Shipped
100291,69,2,2025-05-09,2025-05-31,Delivered
100292,46,1,2025-04-12,2025-04-18,Delivered
100293,59,1,2025-03-22,2025-04-14,Delivered
100294,52,4,2025-03-16,2025-03-24,Delivered
100295,42,2,2025-06-08,2025-06-27,Delivered
100296,47,1,2025-04-22,2025-04-30,Shipped
100297,76,4,2025-05-15,2025-05-22,Delivered
100298,40,3,2025-02-26,2025-03-13,Delivered
100299,10,5,2025-06-12,2025-06-20,Delivered
100300,25,3,2025-03-31,2025-04-25,Delivered
100301,31,1,2025-02-07,2025-02-20,Shipped
100302,78,2,2025-06-17,2025-06-24,Shipped
100303,64,4,2025-05-25,2025-06-17,Delivered
100304,73,5,2025-03-24,2025-04-18,Delivered
100305,57,1,2025-05-01,2025-05-20,Delivered
100306,36,5,2025-01-15,2025-01-31,Delivered
100307,40,4,2025-04-26,2025-05-02,Pending
100308,37,1,2025-06-15,2025-06-22,Delivered
100309,65,4,2025-04-29,2025-05-22,Delivered
100310,6,4,2025-05-27,2025-06-21,Shipped
100311,78,4,2025-05-09,2025-05-18,Cancelled
100312,58,1,2025-03-29,2025-04-05,Delivered
100313,23,1,2025-03-05,2025-03-24,Cancelled
100314,68,5,2025-06-06,2025-06-16,Delivered
100315,37,4,2025-04-15,2025-04-30,Delivered
100316,7,3,2025-01-17,2025-02-01,Pending
100317,50,3,2025-03-06,2025-03-30,Delivered
100318,43,1,2025-05-30,2025-06-08,Delivered
100319,40,4,2025-02-03,2025-02-27,Delivered
100320,11,3,2025-05-24,2025-06-10,Delivered
100321,43,2,2025-06-21,2025-07-12,Pending
100322,55,5,2025-04-03,2025-04-08,Delivered
100323,24,2,2025-03-29,2025-04-18,Shipped
100324,18,2,2025-01-20,2025-02-03,Delivered
100325,13,5,2025-05-19,2025-06-09,Pending
100326,44,5,2025-02-03,2025-02-27,Delivered
100327,21,2,2025-06-27,2025-07-21,Delivered
100328,22,4,2025-01-12,2025-01-30,Delivered
100329,31,4,2025-06-06,2025-06-20,Delivered
100330,58,2,2025-05-17,2025-05-29,Delivered
100331,61,2,2025-04-05,2025-04-28,Cancelled
100332,60,3,2025-04-08,2025-04-29,Delivered
100333,21,2,2025-06-04,2025-06-13,Delivered
100334,7,4,2025-04-06,2025-04-28,Delivered
100335,67,1,2025-03-14,2025-03-21,Delivered
100336,35,4,2025-05-12,2025-05-21,Delivered
100337,12,2,2025-04-26,2025-05-12,Delivered
100338,54,1,2025-04-12,2025-05-03,Delivered
100339,50,1,2025-04-06,2025-04-18,Pending
100340,13,3,2025-02-07,2025-02-16,Pending
100341,61,2,2025-06-30,2025-07-20,Delivered
100342,1,1,2025-01-05,2025-01-18,Shipped
100343,20,5,2025-06-05,2025-06-26,Delivered
100344,37,2,2025-03-19,2025-03-27,Pending
100345,54,5,2025-04-28,2025-05-05,Shipped
100346,64,5,2025-05-18,2025-05-23,Delivered
100347,74,2,2025-02-06,2025-02-20,Delivered
100348,79,3,2025-03-03,2025-03-26,Delivered
100349,11,5,2025-04-03,2025-04-10,Cancelled
100350,70,5,2025-05-10,2025-06-01,Pending
100351,61,1,2025-06-12,2025-06-29,Cancelled
100352,33,1,2025-04-02,2025-04-09,Delivered
100353,14,5,2025-03-27,2025-04-05,Pending
100354,70,3,2025-06-14,2025-06-24,Delivered
100355,60,4,2025-06-11,2025-06-21,Delivered
100356,9,4,2025-01-10,2025-01-24,Shipped
100357,26,1,2025-03-22,2025-04-05,Delivered
100358,70,4,2025-03-06,2025-03-12,Delivered
100359,25,3,2025-04-02,2025-04-08,Delivered
100360,43,3,2025-02-01,2025-02-17,Delivered
100361,52,4,2025-04-09,2025-04-24,Cancelled
100362,64,4,2025-04-05,2025-04-26,Shipped
100363,11,4,2025-01-21,2025-02-08,Delivered
100364,24,5,2025-03-17,2025-04-01,Shipped
100365,42,3,2025-03-20,2025-04-08,Delivered
100366,55,2,2025-06-26,2025-07-15,Delivered
100367,6,3,2025-06-07,2025-06-25,Shipped
100368,8,1,2025-06-21,2025-07-16,Delivered
100369,66,2,2025-01-08,2025-01-17,Delivered
100370,57,1,2025-02-02,2025-02-09,Shipped
100371,47,3,2025-04-09,2025-05-02,Pending
100372,20,4,2025-04-05,2025-04-21,Delivered
100373,10,5,2025-02-05,2025-02-26,Delivered
100374,41,3,2025-03-05,2025-03-13,Pending
100375,24,4,2025-05-13,2025-05-30,Delivered
100376,16,3,2025-03-08,2025-03-27,Shipped
100377,79,3,2025-06-27,2025-07-17,Shipped
100378,18,1,2025-04-26,2025-05-06,Delivered
100379,57,1,2025-06-24,2025-07-09,Delivered
100380,9,5,2025-05-19,2025-06-02,Delivered
100381,21,2,2025-04-03,2025-04-24,Shipped
100382,26,2,2025-03-02,2025-03-22,Pending
100383,71,5,2025-04-05,2025-04-24,Delivered
100384,71,2,2025-06-06,2025-06-13,Pending
100385,51,4,2025-05-15,2025-06-02,Delivered
100386,74,1,2025-02-02,2025-02-17,Delivered
100387,58,4,2025-06-24,2025-07-15,Delivered
100388,71,5,2025-02-16,2025-02-25,Delivered
100389,8,1,2025-05-13,2025-05-22,Delivered
100390,21,3,2025-02-27,2025-03-15,Delivered
100391,67,3,2025-01-21,2025-02-03,Shipped
100392,71,3,2025-02-02,2025-02-27,Delivered
100393,69,1,2025-05-09,2025-06-03,Shipped
100394,75,2,2025-02-13,2025-03-09,Delivered
100395,78,3,2025-05-25,2025-05-31,Delivered
100396,4,1,2025-01-12,2025-02-06,Delivered
100397,34,2,2025-05-27,2025-06-14,Delivered
100398,4,4,2025-06-10,2025-07-02,Shipped
100399,39,4,2025-03-04,2025-03-21,Shipped
100400,10,1,2025-02-10,2025-03-01,Delivered
100401,60,2,2025-03-29,2025-04-22,Shipped
100402,41,3,2025-04-13,2025-04-22,Delivered
100403,66,5,2025-01-28,2025-02-12,Shipped
100404,16,3,2025-04-26,2025-05-08,Shipped
100405,7,3,2025-04-09,2025-05-03,Delivered
100406,21,3,2025-05-28,2025-06-12,Shipped
100407,21,4,2025-05-12,2025-05-31,Delivered
100408,40,4,2025-01-06,2025-01-13,Delivered
100409,65,4,2025-03-03,2025-03-14,Delivered
100410,7,1,2025-03-14,2025-04-03,Delivered
100411,61,3,2025-05-18,2025-05-23,Delivered
100412,56,2,2025-03-09,2025-03-25,Delivered
100413,47,1,2025-04-13,2025-04-19,Delivered
100414,25,3,2025-05-22,2025-06-05,Pending
100415,65,4,2025-05-21,2025-06-03,Delivered
100416,80,5,2025-01-31,2025-02-09,Cancelled
100417,51,3,2025-03-28,2025-04-19,Delivered
100418,19,2,2025-06-04,2025-06-25,Delivered
100419,6,1,2025-01-10,2025-01-19,Delivered
100420,61,5,2025-04-27,2025-05-06,Delivered
100421,66,2,2025-03-25,2025-04-18,Delivered
100422,51,5,2025-03-18,2025-04-10,Delivered
100423,66,5,2025-05-06,2025-05-29,Shipped
100424,3,3,2025-03-26,2025-04-03,Cancelled
100425,75,3,2025-06-26,2025-07-21,Pending
100426,61,3,2025-06-17,2025-07-10,Delivered
100427,7,5,2025-05-03,2025-05-13,Delivered
100428,80,4,2025-02-07,2025-02-19,Pending
100429,15,2,2025-01-05,2025-01-24,Delivered
100430,20,4,2025-06-26,2025-07-07,Delivered
100431,79,4,2025-01-16,2025-01-25,Delivered
100432,72,3,2025-06-19,2025-07-09,Delivered
100433,41,2,2025-04-28,2025-05-20,Delivered
100434,46,3,2025-06-06,2025-06-26,Shipped
100435,32,3,2025-05-23,2025-06-06,Shipped
100436,39,3,2025-06-30,2025-07-11,Delivered
100437,63,3,2025-05-03,2025-05-19,Delivered
100438,36,3,2025-02-01,2025-02-24,Delivered
100439,49,4,2025-03-30,2025-04-08,Shipped
100440,37,1,2025-03-30,2025-04-18,Delivered
100441,62,2,2025-02-21,2025-03-15,Shipped
100442,72,3,2025-02-05,2025-02-13,Delivered
100443,76,2,2025-03-04,2025-03-10,Delivered
100444,68,2,2025-06-13,2025-06-25,Pending
100445,53,3,2025-05-01,2025-05-09,Delivered
100446,18,1,2025-05-21,2025-05-31,Delivered
100447,61,4,2025-06-16,2025-06-27,Delivered
100448,37,3,2025-03-15,2025-04-09,Pending
100449,12,5,2025-03-01,2025-03-23,Delivered
100450,5,2,2025-04-17,2025-04-27,Delivered
100451,5,4,2025-05-07,2025-05-17,Delivered
100452,38,1,2025-01-03,2025-01-17,Delivered
100453,14,3,2025-03-14,2025-04-02,Cancelled
100454,70,5,2025-05-07,2025-05-16,Delivered
100455,60,3,2025-02-19,2025-02-27,Delivered
100456,59,3,2025-02-17,2025-02-22,Delivered
100457,38,5,2025-06-22,2025-07-03,Shipped
100458,52,4,2025-05-12,2025-05-27,Pending
100459,13,2,2025-02-05,2025-02-25,Delivered
100460,32,1,2025-03-08,2025-03-25,Shipped
100461,35,3,2025-03-19,2025-04-11,Delivered
100462,2,3,2025-06-17,2025-07-03,Delivered
100463,8,1,2025-04-30,2025-05-14,Shipped
100464,65,3,2025-06-26,2025-07-04,Delivered
100465,38,3,2025-06-07,2025-06-19,Shipped
100466,18,4,2025-02-09,2025-02-28,Delivered
100467,78,3,2025-04-17,2025-05-09,Delivered
100468,69,2,2025-03-05,2025-03-29,Delivered
100469,11,5,2025-04-25,2025-05-16,Delivered
100470,10,5,2025-01-29,2025-02-04,Delivered
100471,65,2,2025-05-27,2025-06-18,Shipped
100472,42,5,2025-04-24,2025-05-02,Delivered
100473,75,4,2025-01-24,2025-02-14,Delivered
100474,8,4,2025-02-03,2025-02-24,Delivered
100475,73,1,2025-05-24,2025-06-12,Delivered
100476,40,1,2025-04-12,2025-04-25,Delivered
100477,28,5,2025-01-19,2025-01-25,Delivered
100478,9,5,2025-01-16,2025-01-23,Cancelled
100479,61,1,2025-03-15,2025-04-02,Shipped
100480,18,4,2025-04-06,2025-04-23,Delivered
100481,49,4,2025-01-21,2025-02-12,Shipped
100482,45,1,2025-02-15,2025-03-09,Delivered
100483,17,2,2025-01-01,2025-01-06,Cancelled
100484,60,5,2025-04-19,2025-05-11,Delivered
100485,30,2,2025-04-28,2025-05-14,Shipped
100486,25,1,2025-01-09,2025-01-27,Delivered
100487,3,2,2025-02-22,2025-03-01,Shipped
100488,5,4,2025-06-03,2025-06-09,Shipped
100489,6,4,2025-04-23,2025-05-05,Delivered
100490,8,2,2025-05-09,2025-05-23,Shipped
100491,74,3,2025-05-28,2025-06-21,Delivered
100492,42,2,2025-03-19,2025-03-28,Cancelled
100493,67,2,2025-04-16,2025-04-30,Shipped
100494,72,5,2025-02-14,2025-03-11,Delivered
100495,72,4,2025-01-13,2025-01-29,Delivered
100496,49,5,2025-03-23,2025-04-10,Delivered
100497,39,4,2025-02-17,2025-03-11,Delivered
100498,29,3,2025-02-06,2025-02-25,Delivered
100499,72,4,2025-04-17,2025-05-09,Delivered
100500,50,2,2025-03-07,2025-03-18,Delivered
100501,11,4,2025-04-05,2025-04-12,Delivered
100502,25,1,2025-03-10,2025-03-27,Delivered
100503,78,1,2025-01-19,2025-01-30,Delivered
100504,76,5,2025-02-25,2025-03-17,Shipped
100505,43,3,2025-01-04,2025-01-15,Delivered
100506,16,4,2025-03-04,2025-03-28,Delivered
100507,51,2,2025-05-22,2025-06-06,Delivered
100508,49,4,2025-05-17,2025-06-11,Delivered
100509,34,3,2025-05-12,2025-06-01,Delivered
100510,61,3,2025-02-22,2025-03-10,Delivered
100511,6,5,2025-02-26,2025-03-07,Pending
100512,71,5,2025-05-29,2025-06-16,Shipped
100513,26,3,2025-02-28,2025-03-17,Delivered
100514,32,4,2025-05-21,2025-06-15,Delivered
100515,44,3,2025-05-06,2025-05-31,Delivered
100516,59,2,2025-04-01,2025-04-11,Shipped
100517,70,4,2025-02-17,2025-03-11,Cancelled
100518,8,5,2025-01-09,2025-01-16,Delivered
100519,7,1,2025-04-16,2025-04-25,Delivered
100520,30,1,2025-02-08,2025-02-13,Shipped
100521,59,3,2025-01-16,2025-02-09,Delivered
100522,79,4,2025-06-18,2025-07-08,Pending
100523,69,5,2025-04-16,2025-04-21,Pending
100524,36,5,2025-03-15,2025-03-20,Delivered
100525,56,2,2025-01-28,2025-02-05,Delivered
100526,31,2,2025-06-08,2025-06-29,Shipped
100527,46,3,2025-04-12,2025-04-19,Delivered
100528,52,4,2025-05-25,2025-06-06,Cancelled
100529,29,3,2025-06-25,2025-07-02,Delivered
100530,5,1,2025-04-14,2025-05-01,Delivered
100531,61,1,2025-06-13,2025-06-18,Delivered
100532,11,4,2025-04-22,2025-05-17,Delivered
100533,73,1,2025-05-16,2025-05-22,Shipped
100534,73,4,2025-03-11,2025-03-17,Delivered
100535,36,5,2025-05-25,2025-05-31,Shipped
100536,41,1,2025-02-23,2025-03-18,Shipped
