InventoryID,WarehouseID,ProductID,CurrentStock,ReorderLevel,SafetyStock,LastRestocked
107,2,7,991,64,32,2025-05-29
108,2,8,753,188,94,2025-01-16
109,2,9,765,130,65,2025-01-15
110,2,10,51,199,99,2025-05-03
111,2,11,514,185,92,2025-02-10
112,2,12,58,180,90,2025-01-21
113,2,13,871,97,48,2025-01-18
114,2,14,609,67,33,2025-06-22
115,2,15,882,110,55,2025-04-14
116,2,16,122,195,97,2025-03-05
117,2,17,592,60,30,2025-06-08
118,2,18,83,157,78,2025-06-18
119,2,19,597,194,97,2025-05-14
120,2,20,323,116,58,2025-02-22
121,2,21,685,130,65,2025-03-03
122,2,22,271,151,75,2025-02-03
123,2,23,687,126,63,2025-04-28
124,2,24,323,68,34,2025-01-03
125,2,25,469,194,97,2025-01-26
126,2,26,75,187,93,2025-02-24
127,2,27,518,117,58,2025-02-03
128,2,28,955,139,69,2025-01-18
129,2,29,900,112,56,2025-04-05
130,2,30,291,90,45,2025-04-23
131,2,31,853,189,94,2025-06-30
132,2,32,309,185,92,2025-01-03
133,2,33,683,191,95,2025-03-18
134,2,34,954,76,38,2025-02-04
135,2,35,270,79,39,2025-01-28
136,2,36,760,191,95,2025-02-09
137,2,37,278,122,61,2025-06-04
138,2,38,215,137,68,2025-02-22
139,2,39,703,117,58,2025-05-10
140,2,40,500,114,57,2025-01-14
141,2,41,94,158,79,2025-03-12
142,2,42,45,50,25,2025-03-27
143,2,43,789,83,41,2025-06-13
144,2,44,268,91,45,2025-04-24
145,2,45,564,159,79,2025-05-24
146,2,46,9,78,39,2025-01-20
147,2,47,967,88,44,2025-05-20
148,2,48,36,144,72,2025-05-30
149,2,49,565,87,43,2025-04-21
150,2,50,130,60,30,2025-03-20
151,2,51,373,60,30,2025-04-02
152,2,52,215,113,56,2025-06-20
153,2,53,105,140,70,2025-05-24
154,2,54,905,154,77,2025-06-08
155,2,55,767,89,44,2025-03-02
156,2,56,885,91,45,2025-02-15
157,2,57,902,155,77,2025-01-07
158,2,58,183,135,67,2025-04-16
159,2,59,821,113,56,2025-03-10
160,2,60,163,77,38,2025-04-08
161,2,61,893,59,29,2025-05-01
162,2,62,227,101,50,2025-04-28
163,2,63,358,128,64,2025-02-28
164,2,64,228,56,28,2025-06-18
165,2,65,197,152,76,2025-03-26
166,2,66,285,67,33,2025-03-13
167,2,67,359,180,90,2025-04-13
168,2,68,695,187,93,2025-03-26
169,2,69,961,57,28,2025-01-30
170,2,70,898,116,58,2025-02-15
171,2,71,594,117,58,2025-01-10
172,2,72,111,161,80,2025-03-30
173,2,73,746,130,65,2025-04-22
174,2,74,620,180,90,2025-01-30
175,2,75,394,197,98,2025-02-18
176,2,76,260,61,30,2025-04-22
177,2,77,1,183,91,2025-05-18
178,2,78,703,100,50,2025-04-04
179,2,79,441,67,33,2025-06-20
180,2,80,942,134,67,2025-06-09
181,2,81,321,81,40,2025-03-18
182,2,82,519,129,64,2025-06-20
183,2,83,418,133,66,2025-04-14
184,2,84,713,125,62,2025-05-22
185,2,85,130,99,49,2025-04-18
186,2,86,680,147,73,2025-06-23
187,2,87,766,94,47,2025-06-07
188,2,88,582,127,63,2025-04-14
189,2,89,561,50,25,2025-03-19
190,2,90,293,103,51,2025-04-21
191,2,91,804,198,99,2025-06-05
192,2,92,670,132,66,2025-04-30
193,2,93,452,163,81,2025-06-22
194,2,94,218,180,90,2025-05-02
195,2,95,812,93,46,2025-06-18
196,2,96,86,122,61,2025-05-12
197,2,97,679,135,67,2025-01-24
198,2,98,838,110,55,2025-06-22
199,2,99,317,107,53,2025-02-20
200,2,100,150,56,28,2025-01-12
201,3,1,250,171,85,2025-06-06
202,3,2,870,68,34,2025-04-27
203,3,3,424,197,98,2025-02-19
204,3,4,735,148,74,2025-05-07
205,3,5,409,112,56,2025-02-07
206,3,6,671,51,25,2025-01-28
207,3,7,797,158,79,2025-02-26
208,3,8,180,182,91,2025-04-29
209,3,9,51,192,96,2025-03-05
210,3,10,939,81,40,2025-04-27
211,3,11,136,168,84,2025-06-20
212,3,12,543,193,96,2025-06-02
213,3,13,324,163,81,2025-06-06
214,3,14,834,179,89,2025-04-20
215,3,15,850,190,95,2025-04-25
216,3,16,918,90,45,2025-05-02
217,3,17,460,116,58,2025-03-05
218,3,18,860,120,60,2025-05-14
219,3,19,496,111,55,2025-03-12
220,3,20,450,69,34,2025-03-15
221,3,21,240,119,59,2025-03-27
222,3,22,327,188,94,2025-01-21
223,3,23,141,88,44,2025-03-01
224,3,24,392,89,44,2025-06-30
225,3,25,219,66,33,2025-04-17
226,3,26,417,134,67,2025-05-19
227,3,27,477,156,78,2025-01-16
228,3,28,211,157,78,2025-04-10
229,3,29,926,199,99,2025-06-28
230,3,30,20,197,98,2025-04-08
231,3,31,488,51,25,2025-04-01
232,3,32,305,149,74,2025-04-18
233,3,33,551,189,94,2025-06-04
234,3,34,919,106,53,2025-05-05
235,3,35,224,119,59,2025-04-22
236,3,36,497,57,28,2025-04-10
237,3,37,344,153,76,2025-02-12
238,3,38,860,169,84,2025-02-02
239,3,39,637,186,93,2025-01-07
240,3,40,928,150,75,2025-06-01
241,3,41,577,56,28,2025-01-22
242,3,42,658,159,79,2025-02-04
243,3,43,887,168,84,2025-02-16
244,3,44,51,116,58,2025-04-08
245,3,45,335,104,52,2025-04-27
246,3,46,334,136,68,2025-04-08
247,3,47,284,157,78,2025-03-06
248,3,48,854,70,35,2025-05-01
249,3,49,19,188,94,2025-01-14
250,3,50,974,139,69,2025-02-27
251,3,51,665,67,33,2025-06-16
252,3,52,41,57,28,2025-03-05
253,3,53,204,55,27,2025-06-09
254,3,54,156,111,55,2025-02-02
255,3,55,484,79,39,2025-05-25
256,3,56,970,105,52,2025-04-30
257,3,57,716,115,57,2025-04-05
258,3,58,171,79,39,2025-02-11
259,3,59,987,129,64,2025-01-28
260,3,60,592,56,28,2025-03-21
261,3,61,589,146,73,2025-04-12
262,3,62,964,100,50,2025-01-20
263,3,63,606,112,56,2025-01-27
264,3,64,713,127,63,2025-06-25
265,3,65,614,80,40,2025-05-25
266,3,66,801,60,30,2025-03-30
267,3,67,545,159,79,2025-06-19
268,3,68,379,67,33,2025-05-10
269,3,69,663,137,68,2025-01-04
270,3,70,869,157,78,2025-05-06
271,3,71,108,160,80,2025-04-03
272,3,72,650,167,83,2025-02-09
273,3,73,445,95,47,2025-05-14
274,3,74,988,119,59,2025-06-07
275,3,75,827,187,93,2025-05-04
276,3,76,476,161,80,2025-06-01
277,3,77,274,132,66,2025-03-04
278,3,78,850,72,36,2025-03-13
279,3,79,902,165,82,2025-03-04
280,3,80,768,168,84,2025-05-26
281,3,81,624,147,73,2025-03-28
282,3,82,29,176,88,2025-03-25
283,3,83,186,174,87,2025-02-24
284,3,84,363,116,58,2025-03-29
285,3,85,286,120,60,2025-05-23
286,3,86,10,182,91,2025-02-18
287,3,87,87,111,55,2025-04-15
288,3,88,500,192,96,2025-03-03
289,3,89,707,171,85,2025-06-15
290,3,90,728,175,87,2025-04-25
291,3,91,811,54,27,2025-01-24
292,3,92,301,106,53,2025-04-14
293,3,93,708,112,56,2025-03-20
294,3,94,679,198,99,2025-04-05
295,3,95,484,191,95,2025-05-16
296,3,96,352,158,79,2025-05-21
297,3,97,338,140,70,2025-06-29
298,3,98,464,119,59,2025-03-20
299,3,99,257,109,54,2025-01-31
300,3,100,738,99,49,2025-03-22
301,4,1,122,187,93,2025-06-26
302,4,2,189,99,49,2025-02-25
303,4,3,756,173,86,2025-03-12
304,4,4,741,200,100,2025-05-15
305,4,5,611,122,61,2025-01-26
306,4,6,852,99,49,2025-03-17
307,4,7,232,142,71,2025-02-15
308,4,8,309,53,26,2025-05-17
309,4,9,129,120,60,2025-01-12
310,4,10,997,63,31,2025-05-22
311,4,11,299,82,41,2025-06-13
312,4,12,889,175,87,2025-01-27
313,4,13,893,53,26,2025-05-27
314,4,14,291,170,85,2025-05-03
315,4,15,451,137,68,2025-02-17
316,4,16,988,63,31,2025-03-06
317,4,17,963,172,86,2025-01-30
318,4,18,841,66,33,2025-04-13
319,4,19,503,68,34,2025-05-28
320,4,20,644,63,31,2025-02-08
321,4,21,152,194,97,2025-03-19
322,4,22,87,113,56,2025-01-31
323,4,23,571,156,78,2025-06-05
324,4,24,610,107,53,2025-05-14
325,4,25,389,165,82,2025-04-24
326,4,26,304,200,100,2025-04-20
327,4,27,312,195,97,2025-06-08
328,4,28,61,75,37,2025-02-23
329,4,29,640,104,52,2025-03-09
330,4,30,676,70,35,2025-02-10
331,4,31,245,94,47,2025-05-22
332,4,32,76,90,45,2025-01-01
333,4,33,418,165,82,2025-06-26
334,4,34,608,170,85,2025-03-16
335,4,35,33,109,54,2025-03-15
336,4,36,723,122,61,2025-06-29
337,4,37,880,166,83,2025-01-19
338,4,38,703,109,54,2025-03-09
339,4,39,806,200,100,2025-06-19
340,4,40,823,100,50,2025-04-19
341,4,41,117,189,94,2025-02-27
342,4,42,663,88,44,2025-03-10
343,4,43,846,86,43,2025-01-19
344,4,44,61,92,46,2025-03-20
345,4,45,609,195,97,2025-03-15
346,4,46,449,81,40,2025-04-30
347,4,47,705,127,63,2025-06-29
348,4,48,412,119,59,2025-05-09
349,4,49,552,176,88,2025-04-23
350,4,50,82,60,30,2025-04-21
351,4,51,752,132,66,2025-06-04
352,4,52,256,56,28,2025-01-24
353,4,53,234,197,98,2025-05-31
354,4,54,973,55,27,2025-06-22
355,4,55,841,118,59,2025-05-28
356,4,56,41,94,47,2025-05-01
357,4,57,531,163,81,2025-03-13
358,4,58,185,199,99,2025-04-22
359,4,59,650,175,87,2025-01-24
360,4,60,481,139,69,2025-04-15
361,4,61,341,132,66,2025-06-21
362,4,62,107,91,45,2025-03-26
363,4,63,421,176,88,2025-03-15
364,4,64,678,152,76,2025-05-21
365,4,65,37,166,83,2025-01-23
366,4,66,322,114,57,2025-03-24
367,4,67,118,153,76,2025-05-12
368,4,68,844,50,25,2025-06-18
369,4,69,890,188,94,2025-04-29
370,4,70,423,63,31,2025-02-18
371,4,71,530,142,71,2025-06-09
372,4,72,774,177,88,2025-06-10
373,4,73,452,63,31,2025-02-22
374,4,74,273,190,95,2025-02-03
375,4,75,949,123,61,2025-04-23
376,4,76,901,174,87,2025-02-01
377,4,77,29,111,55,2025-02-10
378,4,78,318,191,95,2025-01-04
379,4,79,565,154,77,2025-01-24
380,4,80,230,79,39,2025-04-29
381,4,81,969,80,40,2025-06-15
382,4,82,852,89,44,2025-05-08
383,4,83,955,124,62,2025-05-11
384,4,84,722,119,59,2025-04-17
385,4,85,854,173,86,2025-05-01
386,4,86,249,166,83,2025-05-22
387,4,87,148,148,74,2025-02-18
388,4,88,943,180,90,2025-02-04
389,4,89,884,67,33,2025-03-12
390,4,90,791,156,78,2025-03-29
391,4,91,956,179,89,2025-03-10
392,4,92,840,50,25,2025-03-14
393,4,93,743,126,63,2025-05-31
394,4,94,593,175,87,2025-02-08
395,4,95,457,187,93,2025-05-04
396,4,96,353,135,67,2025-05-22
397,4,97,781,189,94,2025-04-07
398,4,98,466,132,66,2025-02-18
399,4,99,714,111,55,2025-05-27
400,4,100,392,109,54,2025-04-16
401,5,1,44,131,65,2025-05-02
402,5,2,722,147,73,2025-04-09
403,5,3,679,88,44,2025-05-07
404,5,4,987,59,29,2025-02-02
405,5,5,514,134,67,2025-01-26
406,5,6,895,162,81,2025-01-26
407,5,7,538,166,83,2025-01-04
408,5,8,739,86,43,2025-04-15
409,5,9,891,89,44,2025-01-20
410,5,10,480,117,58,2025-03-28
411,5,11,638,151,75,2025-06-16
412,5,12,82,134,67,2025-06-22
413,5,13,879,186,93,2025-04-08
414,5,14,977,131,65,2025-06-10
415,5,15,735,174,87,2025-05-19
416,5,16,36,67,33,2025-03-02
417,5,17,646,123,61,2025-02-28
418,5,18,764,73,36,2025-04-22
419,5,19,100,75,37,2025-04-24
420,5,20,170,126,63,2025-01-08
421,5,21,47,133,66,2025-01-15
422,5,22,300,141,70,2025-04-06
423,5,23,441,87,43,2025-03-04
424,5,24,543,155,77,2025-05-25
425,5,25,698,96,48,2025-02-13
426,5,26,179,70,35,2025-06-06
427,5,27,891,147,73,2025-06-08
428,5,28,699,111,55,2025-05-08
429,5,29,934,199,99,2025-02-06
430,5,30,237,168,84,2025-06-13
431,5,31,260,167,83,2025-03-07
432,5,32,682,52,26,2025-04-30
433,5,33,922,123,61,2025-06-23
434,5,34,559,90,45,2025-01-19
435,5,35,452,138,69,2025-05-31
436,5,36,306,158,79,2025-06-26
437,5,37,256,166,83,2025-03-19
438,5,38,203,148,74,2025-05-04
439,5,39,109,110,55,2025-04-08
440,5,40,585,141,70,2025-05-28
441,5,41,302,125,62,2025-01-06
442,5,42,849,151,75,2025-03-12
443,5,43,8,194,97,2025-06-25
444,5,44,796,62,31,2025-06-05
445,5,45,763,177,88,2025-03-15
446,5,46,794,108,54,2025-06-05
447,5,47,821,140,70,2025-02-26
448,5,48,651,98,49,2025-06-08
449,5,49,256,85,42,2025-06-10
450,5,50,99,60,30,2025-03-21
451,5,51,807,162,81,2025-01-09
452,5,52,593,143,71,2025-02-03
453,5,53,92,125,62,2025-03-25
454,5,54,765,156,78,2025-02-14
455,5,55,205,83,41,2025-05-19
456,5,56,897,143,71,2025-05-16
457,5,57,513,119,59,2025-02-12
458,5,58,263,173,86,2025-03-17
459,5,59,764,136,68,2025-01-30
460,5,60,479,69,34,2025-02-06
461,5,61,772,107,53,2025-06-23
462,5,62,741,151,75,2025-05-23
463,5,63,374,73,36,2025-04-12
464,5,64,14,117,58,2025-05-18
465,5,65,126,166,83,2025-04-05
466,5,66,688,117,58,2025-05-30
467,5,67,390,145,72,2025-01-28
468,5,68,691,109,54,2025-05-01
469,5,69,25,193,96,2025-03-25
470,5,70,937,106,53,2025-06-15
471,5,71,64,168,84,2025-06-29
472,5,72,309,154,77,2025-01-30
473,5,73,143,61,30,2025-01-10
474,5,74,311,176,88,2025-01-30
475,5,75,99,110,55,2025-05-18
476,5,76,138,149,74,2025-04-27
477,5,77,379,188,94,2025-04-18
478,5,78,601,89,44,2025-04-17
479,5,79,670,75,37,2025-05-06
480,5,80,630,154,77,2025-03-13
481,5,81,33,144,72,2025-02-25
482,5,82,454,163,81,2025-03-02
483,5,83,875,142,71,2025-01-26
484,5,84,702,144,72,2025-05-20
485,5,85,923,141,70,2025-01-16
486,5,86,407,120,60,2025-02-18
487,5,87,991,81,40,2025-04-27
488,5,88,93,104,52,2025-06-14
489,5,89,654,55,27,2025-01-13
490,5,90,805,135,67,2025-03-04
491,5,91,128,194,97,2025-02-22
492,5,92,70,191,95,2025-02-23
493,5,93,600,105,52,2025-03-01
494,5,94,336,87,43,2025-06-02
495,5,95,2,120,60,2025-02-07
496,5,96,133,188,94,2025-03-06
497,5,97,817,94,47,2025-01-29
498,5,98,676,56,28,2025-02-03
499,5,99,15,141,70,2025-03-02
500,5,100,602,132,66,2025-01-05
