TransactionID,WarehouseID,ProductID,TransactionType,Quantity,TransactionDate
122,3,70,IN,20,2025-03-01
123,4,89,IN,28,2025-01-17
124,4,53,OUT,60,2025-04-17
125,1,27,OUT,50,2025-05-30
126,1,98,OUT,62,2025-01-02
127,3,39,OUT,54,2025-05-18
128,5,78,RETURN,63,2025-02-26
129,3,56,OUT,50,2025-03-28
130,4,93,IN,60,2025-02-02
131,5,69,IN,51,2025-06-01
132,5,85,IN,83,2025-04-20
133,2,60,IN,34,2025-04-08
134,3,28,OUT,44,2025-04-08
135,3,97,ADJUSTMENT,54,2025-03-06
136,1,61,IN,70,2025-01-14
137,3,29,OUT,100,2025-06-16
138,1,97,IN,32,2025-02-21
139,1,80,IN,17,2025-05-02
140,1,73,RETURN,60,2025-06-29
141,3,99,OUT,78,2025-06-05
142,1,100,OUT,40,2025-01-28
143,5,4,RETURN,74,2025-06-23
144,4,51,RETURN,26,2025-01-20
145,5,89,OUT,32,2025-01-27
146,3,88,OUT,16,2025-05-25
147,1,45,OUT,85,2025-04-05
148,1,65,OUT,2,2025-04-18
149,4,14,OUT,47,2025-06-12
150,4,91,IN,23,2025-05-14
151,3,79,OUT,69,2025-05-04
152,4,56,OUT,76,2025-03-10
153,3,32,OUT,12,2025-03-13
154,4,32,OUT,73,2025-06-06
155,4,44,IN,42,2025-02-16
156,4,28,OUT,34,2025-03-29
157,3,77,OUT,36,2025-05-23
158,1,67,RETURN,11,2025-03-03
159,4,63,OUT,31,2025-06-26
160,4,83,OUT,58,2025-01-05
161,1,38,IN,89,2025-03-04
162,3,85,OUT,61,2025-05-22
163,5,45,OUT,96,2025-05-21
164,3,46,OUT,35,2025-03-20
165,3,30,IN,25,2025-03-22
166,1,96,OUT,98,2025-06-26
167,2,25,IN,62,2025-03-12
168,5,98,OUT,37,2025-01-26
169,2,38,IN,23,2025-03-19
170,1,91,OUT,36,2025-01-12
171,1,71,OUT,17,2025-06-13
172,4,14,RETURN,74,2025-03-14
173,4,62,OUT,24,2025-01-14
174,3,62,IN,9,2025-04-13
175,4,10,OUT,88,2025-01-14
176,2,20,OUT,39,2025-01-22
177,2,16,OUT,54,2025-06-05
178,5,80,IN,67,2025-04-08
179,4,57,OUT,76,2025-04-20
180,3,73,OUT,79,2025-01-26
181,2,81,IN,85,2025-01-21
182,2,31,IN,10,2025-02-10
183,1,53,OUT,77,2025-05-01
184,3,5,IN,91,2025-03-14
185,4,10,OUT,34,2025-06-10
186,5,85,OUT,26,2025-04-19
187,1,70,IN,20,2025-03-10
188,2,10,IN,40,2025-06-02
189,5,37,OUT,60,2025-06-26
190,3,90,OUT,35,2025-05-09
191,5,64,OUT,77,2025-01-11
192,4,95,OUT,33,2025-01-07
193,1,30,ADJUSTMENT,74,2025-05-31
194,1,98,OUT,35,2025-05-28
195,1,98,OUT,61,2025-05-13
196,4,36,IN,75,2025-04-22
197,4,12,OUT,53,2025-03-27
198,3,86,IN,21,2025-03-26
199,4,89,OUT,85,2025-04-13
200,5,5,OUT,41,2025-03-06
201,3,15,ADJUSTMENT,52,2025-05-12
202,1,85,RETURN,60,2025-04-16
203,1,25,OUT,80,2025-05-08
204,4,98,IN,35,2025-05-21
205,2,37,OUT,90,2025-05-05
206,1,4,ADJUSTMENT,78,2025-03-03
207,2,40,OUT,71,2025-04-15
208,1,29,ADJUSTMENT,15,2025-04-29
209,1,83,OUT,64,2025-03-16
210,5,91,OUT,62,2025-05-01
211,2,59,OUT,50,2025-02-18
212,5,66,OUT,18,2025-01-18
213,3,99,OUT,54,2025-03-29
214,5,35,OUT,37,2025-03-18
215,5,75,ADJUSTMENT,63,2025-02-08
216,4,69,OUT,43,2025-05-22
217,5,49,OUT,42,2025-02-18
218,2,74,OUT,100,2025-04-16
219,1,41,OUT,91,2025-04-08
220,4,85,OUT,84,2025-02-08
221,4,5,IN,76,2025-03-26
222,1,57,IN,59,2025-01-04
223,2,53,RETURN,20,2025-01-20
224,4,34,OUT,89,2025-04-12
225,1,43,RETURN,69,2025-04-08
226,3,81,OUT,98,2025-05-05
227,5,5,OUT,31,2025-06-11
228,3,30,OUT,56,2025-01-26
229,1,57,IN,39,2025-01-08
230,1,42,OUT,38,2025-04-02
231,3,56,IN,68,2025-04-16
232,5,88,OUT,22,2025-02-14
233,1,79,RETURN,80,2025-06-24
234,2,64,RETURN,19,2025-03-01
235,4,82,OUT,33,2025-06-20
236,1,60,RETURN,87,2025-05-20
237,2,10,OUT,45,2025-05-31
238,3,82,ADJUSTMENT,89,2025-03-06
239,4,39,IN,50,2025-05-04
240,1,31,OUT,46,2025-05-28
241,3,90,OUT,85,2025-04-12
242,3,2,OUT,88,2025-01-13
243,5,96,OUT,37,2025-02-28
244,5,46,IN,25,2025-06-08
245,3,87,OUT,99,2025-06-18
246,2,81,IN,81,2025-06-15
247,1,40,OUT,5,2025-05-29
248,3,94,IN,38,2025-03-25
249,4,23,IN,70,2025-04-04
250,5,65,RETURN,22,2025-03-07
251,4,38,OUT,44,2025-01-30
252,4,10,IN,29,2025-06-23
253,4,72,OUT,51,2025-01-04
254,3,69,IN,48,2025-06-22
255,3,75,OUT,82,2025-04-06
256,1,87,IN,4,2025-06-08
257,5,42,RETURN,29,2025-06-15
258,1,82,OUT,90,2025-03-19
259,4,15,IN,5,2025-03-19
260,4,15,IN,69,2025-02-04
261,4,59,OUT,96,2025-06-28
262,5,54,OUT,94,2025-02-09
263,4,84,IN,63,2025-06-07
264,4,36,IN,48,2025-02-25
265,4,57,ADJUSTMENT,47,2025-01-26
266,3,70,RETURN,83,2025-04-02
267,1,51,OUT,16,2025-04-27
268,1,85,IN,82,2025-06-02
269,1,7,OUT,32,2025-02-02
270,5,27,IN,98,2025-05-22
271,2,76,IN,30,2025-03-26
272,2,77,IN,19,2025-02-03
273,5,33,OUT,15,2025-06-19
274,1,17,IN,31,2025-05-31
275,3,3,IN,7,2025-02-02
276,4,68,IN,9,2025-05-02
277,4,100,OUT,76,2025-01-28
278,4,65,IN,79,2025-01-12
279,5,39,OUT,4,2025-01-16
280,4,52,OUT,14,2025-05-06
281,4,10,RETURN,42,2025-06-05
282,2,9,IN,80,2025-06-12
283,5,71,OUT,49,2025-06-02
284,5,38,OUT,78,2025-04-21
285,1,90,IN,84,2025-06-16
286,5,93,RETURN,56,2025-04-26
287,2,53,OUT,59,2025-04-13
288,4,94,IN,55,2025-03-22
289,3,48,ADJUSTMENT,88,2025-05-02
290,1,12,OUT,12,2025-04-21
291,1,96,OUT,17,2025-05-23
292,1,76,ADJUSTMENT,72,2025-03-26
293,1,53,OUT,86,2025-04-19
294,1,37,OUT,46,2025-01-27
295,5,65,IN,85,2025-05-04
296,2,14,OUT,72,2025-04-05
297,1,98,OUT,29,2025-04-20
298,5,99,OUT,79,2025-06-22
299,5,4,OUT,85,2025-06-27
300,3,4,IN,90,2025-03-21
301,3,45,IN,19,2025-05-25
302,4,9,IN,82,2025-01-08
303,1,96,OUT,49,2025-04-18
304,4,44,IN,40,2025-03-25
305,5,77,IN,7,2025-02-09
306,2,97,OUT,87,2025-01-21
307,3,57,OUT,63,2025-06-05
308,4,54,OUT,97,2025-05-12
309,1,45,OUT,37,2025-06-23
310,5,63,OUT,40,2025-01-12
311,2,51,ADJUSTMENT,8,2025-01-02
312,2,39,RETURN,99,2025-02-05
313,3,38,OUT,1,2025-05-08
314,4,23,IN,69,2025-06-30
315,2,65,OUT,86,2025-04-01
316,1,51,RETURN,6,2025-04-22
317,1,59,RETURN,41,2025-05-28
318,4,74,OUT,82,2025-04-17
319,3,15,OUT,42,2025-02-13
320,5,59,OUT,47,2025-01-23
321,4,14,IN,76,2025-04-13
322,5,11,OUT,40,2025-03-28
323,2,43,OUT,10,2025-05-11
324,1,68,OUT,100,2025-03-31
325,3,94,ADJUSTMENT,83,2025-02-07
326,2,14,IN,26,2025-02-14
327,5,20,OUT,84,2025-01-20
328,2,99,OUT,60,2025-05-25
329,5,58,OUT,73,2025-06-14
330,5,42,RETURN,81,2025-03-22
331,2,57,IN,57,2025-06-11
332,3,36,OUT,46,2025-05-10
333,1,40,OUT,5,2025-01-15
334,3,37,IN,12,2025-06-07
335,5,65,OUT,75,2025-05-22
336,1,58,RETURN,74,2025-06-16
337,2,42,OUT,65,2025-02-08
338,1,58,IN,44,2025-01-22
339,5,83,IN,32,2025-04-23
340,4,68,OUT,21,2025-04-04
341,3,37,OUT,100,2025-03-28
342,5,7,OUT,83,2025-03-27
343,1,43,IN,87,2025-04-09
344,3,33,OUT,85,2025-06-04
345,2,43,IN,85,2025-02-06
346,3,40,ADJUSTMENT,90,2025-06-19
347,4,17,OUT,11,2025-03-21
348,5,49,OUT,43,2025-02-02
349,5,12,OUT,55,2025-05-11
350,3,3,OUT,24,2025-02-24
351,3,99,OUT,29,2025-02-05
352,2,10,OUT,13,2025-05-10
353,5,95,RETURN,5,2025-06-19
354,3,99,OUT,77,2025-04-07
355,2,21,IN,89,2025-06-09
356,2,93,OUT,53,2025-04-04
357,2,57,OUT,97,2025-04-25
358,2,69,IN,61,2025-02-19
359,3,87,RETURN,57,2025-04-29
360,3,100,OUT,68,2025-04-18
361,2,26,OUT,18,2025-03-06
362,1,83,OUT,48,2025-05-22
363,1,92,OUT,16,2025-03-14
364,1,98,IN,58,2025-05-12
365,2,56,IN,29,2025-04-26
366,3,4,OUT,51,2025-05-09
367,3,31,OUT,11,2025-04-06
368,2,4,OUT,13,2025-06-16
369,3,19,IN,37,2025-05-01
370,2,98,OUT,58,2025-06-07
371,1,11,IN,28,2025-02-08
372,5,94,OUT,55,2025-01-29
373,3,31,OUT,7,2025-03-03
374,4,82,OUT,59,2025-01-17
375,1,64,OUT,3,2025-06-11
376,5,74,IN,19,2025-03-16
377,4,1,OUT,31,2025-05-27
378,4,24,OUT,11,2025-05-15
379,3,9,ADJUSTMENT,70,2025-05-10
380,5,71,IN,61,2025-01-12
381,4,48,OUT,3,2025-04-02
382,1,45,IN,85,2025-06-10
383,1,99,OUT,97,2025-03-27
384,2,6,OUT,44,2025-06-14
385,2,100,OUT,90,2025-05-03
386,2,18,IN,100,2025-04-28
387,1,38,IN,26,2025-01-11
388,3,40,OUT,70,2025-05-02
389,3,5,OUT,25,2025-03-15
390,3,100,IN,84,2025-03-26
391,3,16,OUT,56,2025-04-13
392,4,50,OUT,24,2025-05-08
393,4,48,RETURN,67,2025-03-10
394,1,94,OUT,56,2025-06-04
395,2,70,OUT,14,2025-01-21
396,3,85,OUT,58,2025-06-04
397,4,22,OUT,45,2025-04-25
398,1,94,RETURN,46,2025-06-07
399,4,36,OUT,8,2025-01-20
400,4,47,OUT,96,2025-06-23
401,2,4,IN,78,2025-06-23
402,4,5,IN,31,2025-06-15
403,3,47,OUT,73,2025-01-09
404,5,20,OUT,48,2025-04-06
405,4,98,IN,18,2025-05-16
406,3,51,OUT,36,2025-03-05
407,1,4,OUT,64,2025-05-13
408,4,72,IN,100,2025-03-08
409,4,28,ADJUSTMENT,37,2025-06-27
410,4,26,IN,10,2025-04-26
411,2,92,OUT,12,2025-06-24
412,3,86,OUT,9,2025-05-21
413,5,38,RETURN,21,2025-06-29
414,2,47,OUT,16,2025-02-21
415,2,31,OUT,4,2025-04-03
416,5,74,OUT,71,2025-02-03
417,5,12,IN,51,2025-05-03
418,5,53,OUT,74,2025-01-19
419,2,41,OUT,58,2025-04-30
420,5,45,IN,100,2025-05-22
421,5,24,OUT,17,2025-04-21
422,5,8,OUT,67,2025-02-09
423,3,22,IN,91,2025-02-27
424,3,67,RETURN,11,2025-03-06
425,2,82,ADJUSTMENT,36,2025-02-02
426,3,79,OUT,65,2025-06-14
427,2,76,RETURN,20,2025-02-13
428,5,93,RETURN,44,2025-05-25
429,1,4,IN,83,2025-05-28
430,3,84,IN,74,2025-04-17
431,5,82,IN,81,2025-05-20
432,3,83,ADJUSTMENT,62,2025-03-04
433,4,39,OUT,89,2025-01-16
434,2,57,OUT,60,2025-02-22
435,3,78,IN,92,2025-03-23
436,3,52,IN,48,2025-05-12
437,5,14,OUT,60,2025-02-01
438,3,58,IN,13,2025-01-13
439,3,50,RETURN,54,2025-03-05
440,2,42,RETURN,93,2025-03-22
441,2,98,IN,66,2025-04-30
442,4,40,OUT,12,2025-04-11
443,5,59,ADJUSTMENT,28,2025-05-30
444,3,7,IN,64,2025-06-02
445,4,37,OUT,14,2025-04-21
446,2,34,OUT,98,2025-04-14
447,3,6,OUT,73,2025-05-24
448,2,47,OUT,10,2025-04-09
449,5,58,OUT,36,2025-06-09
450,5,16,IN,13,2025-04-11
451,3,44,OUT,47,2025-02-06
452,2,78,OUT,65,2025-01-11
453,1,5,IN,43,2025-05-02
454,5,59,IN,66,2025-02-05
455,3,79,OUT,51,2025-06-07
456,3,76,OUT,66,2025-05-17
457,4,91,OUT,61,2025-01-05
458,3,43,OUT,54,2025-05-30
459,3,93,RETURN,81,2025-01-07
460,5,61,OUT,84,2025-05-29
461,5,30,OUT,75,2025-05-03
462,2,68,OUT,80,2025-04-08
463,2,88,IN,74,2025-06-29
464,1,25,IN,41,2025-04-18
465,2,53,OUT,53,2025-05-09
466,5,61,RETURN,95,2025-01-16
467,2,67,IN,42,2025-06-19
468,4,68,OUT,23,2025-04-28
469,5,44,OUT,87,2025-06-24
470,3,79,OUT,32,2025-03-13
471,5,39,IN,39,2025-03-15
472,2,89,OUT,41,2025-05-03
473,3,72,RETURN,93,2025-03-12
474,3,16,OUT,70,2025-04-08
475,4,45,ADJUSTMENT,19,2025-03-16
476,1,37,ADJUSTMENT,11,2025-03-30
477,4,84,OUT,62,2025-02-24
478,2,69,OUT,72,2025-06-28
479,3,18,IN,95,2025-05-31
480,2,32,IN,68,2025-02-27
481,2,7,IN,43,2025-05-01
482,1,88,OUT,1,2025-05-21
483,2,53,OUT,61,2025-05-03
484,2,97,ADJUSTMENT,42,2025-03-15
485,1,99,IN,74,2025-03-01
486,5,95,OUT,5,2025-02-14
487,4,23,RETURN,5,2025-04-12
488,4,24,RETURN,38,2025-01-10
489,1,39,OUT,14,2025-03-27
490,3,59,ADJUSTMENT,70,2025-05-15
491,4,18,RETURN,60,2025-03-11
492,2,15,OUT,94,2025-04-28
493,3,92,IN,95,2025-03-28
494,3,73,OUT,25,2025-02-14
495,5,82,RETURN,55,2025-05-12
496,3,12,OUT,13,2025-02-17
497,2,62,OUT,32,2025-01-02
498,3,50,IN,97,2025-03-10
499,3,39,OUT,74,2025-01-03
500,3,84,OUT,31,2025-01-16
501,1,60,OUT,52,2025-06-25
502,5,91,OUT,89,2025-01-31
503,3,48,OUT,29,2025-02-04
504,4,20,OUT,78,2025-04-06
505,4,90,OUT,61,2025-05-18
506,2,98,IN,97,2025-06-02
507,1,68,OUT,91,2025-04-03
508,1,73,IN,71,2025-05-10
509,2,74,OUT,22,2025-03-25
510,5,57,IN,27,2025-05-30
511,4,12,RETURN,58,2025-01-15
512,4,17,OUT,59,2025-05-25
513,1,72,OUT,40,2025-01-06
514,4,33,OUT,96,2025-02-25
515,5,10,IN,45,2025-06-29
516,1,70,ADJUSTMENT,9,2025-05-01
517,1,37,OUT,99,2025-02-04
518,4,48,ADJUSTMENT,49,2025-04-25
519,4,49,IN,85,2025-05-19
520,2,84,RETURN,16,2025-02-15
521,5,51,OUT,94,2025-02-27
522,1,97,IN,39,2025-04-29
523,5,55,OUT,30,2025-03-05
524,4,45,IN,25,2025-01-29
525,1,85,OUT,99,2025-01-05
526,2,27,IN,77,2025-01-09
527,4,77,OUT,7,2025-03-04
528,1,52,OUT,70,2025-02-25
529,1,18,OUT,38,2025-03-01
530,5,41,OUT,99,2025-06-22
531,3,31,OUT,19,2025-06-19
532,5,29,OUT,36,2025-01-16
533,5,76,RETURN,23,2025-06-10
534,4,72,OUT,45,2025-06-14
535,4,68,OUT,54,2025-04-15
536,2,39,OUT,97,2025-05-18
537,4,31,OUT,39,2025-02-06
538,4,8,OUT,54,2025-05-23
539,5,18,OUT,33,2025-02-22
540,3,83,IN,58,2025-04-05
541,1,69,OUT,25,2025-01-14
542,3,49,OUT,78,2025-01-11
543,1,25,OUT,76,2025-06-21
544,5,28,OUT,43,2025-03-19
545,1,28,RETURN,95,2025-01-31
546,4,32,OUT,91,2025-02-22
547,4,31,OUT,100,2025-03-14
548,4,60,OUT,46,2025-03-20
549,3,47,OUT,64,2025-04-30
550,1,93,OUT,41,2025-02-22
551,3,41,OUT,73,2025-02-26
552,2,3,OUT,75,2025-05-29
553,4,38,IN,43,2025-02-28
554,4,73,OUT,64,2025-05-21
555,3,33,OUT,63,2025-06-14
556,4,59,IN,46,2025-02-13
557,2,93,OUT,24,2025-05-19
558,1,68,IN,10,2025-06-21
559,1,98,IN,18,2025-06-11
560,2,9,OUT,2,2025-02-25
561,5,59,OUT,80,2025-06-13
562,5,62,OUT,3,2025-01-02
563,5,71,OUT,3,2025-05-16
564,3,69,ADJUSTMENT,3,2025-05-09
565,4,23,IN,13,2025-05-15
566,2,31,IN,68,2025-03-06
567,3,35,OUT,11,2025-04-06
568,4,59,OUT,90,2025-02-27
569,3,88,OUT,11,2025-06-17
570,1,12,OUT,49,2025-05-22
571,4,8,OUT,90,2025-02-13
572,1,64,OUT,83,2025-03-26
573,5,13,RETURN,6,2025-02-28
574,2,89,RETURN,61,2025-03-11
575,1,10,OUT,36,2025-05-20
576,5,85,IN,41,2025-01-05
577,2,76,IN,92,2025-04-12
578,1,39,IN,31,2025-05-26
579,4,87,RETURN,43,2025-04-09
580,2,89,OUT,65,2025-03-30
581,1,13,OUT,10,2025-03-29
582,5,99,OUT,77,2025-04-12
583,3,4,OUT,58,2025-05-06
584,2,46,OUT,49,2025-04-21
585,2,88,OUT,49,2025-01-22
586,5,38,OUT,92,2025-01-19
587,1,35,IN,92,2025-06-12
588,2,95,OUT,47,2025-01-28
589,1,1,RETURN,57,2025-04-03
590,3,14,IN,24,2025-04-21
591,4,72,OUT,53,2025-01-27
592,1,12,OUT,12,2025-06-02
593,5,42,RETURN,2,2025-03-16
594,4,50,OUT,93,2025-05-24
595,2,74,OUT,88,2025-04-08
596,2,18,OUT,35,2025-05-07
597,2,9,IN,36,2025-04-18
598,3,62,OUT,47,2025-03-06
599,2,93,OUT,77,2025-06-07
600,2,59,IN,39,2025-01-02
601,4,43,OUT,49,2025-03-26
602,4,43,OUT,84,2025-06-02
603,2,39,OUT,89,2025-02-21
604,4,41,IN,51,2025-03-23
605,3,95,OUT,63,2025-05-28
606,2,42,OUT,51,2025-04-04
607,1,73,IN,70,2025-02-16
608,5,4,ADJUSTMENT,60,2025-02-23
609,4,38,OUT,9,2025-04-15
610,4,18,OUT,31,2025-03-06
611,2,92,OUT,49,2025-01-19
612,4,77,OUT,52,2025-05-17
613,5,89,OUT,5,2025-04-03
614,5,77,OUT,11,2025-01-28
615,2,85,OUT,22,2025-06-15
616,5,6,OUT,83,2025-06-23
617,4,97,OUT,56,2025-01-28
618,1,13,OUT,66,2025-05-13
619,5,75,OUT,29,2025-04-25
620,3,51,OUT,87,2025-05-31
621,5,20,OUT,4,2025-05-04
622,1,38,OUT,11,2025-01-30
623,2,45,OUT,59,2025-02-22
624,5,62,OUT,13,2025-04-23
625,4,41,IN,6,2025-01-30
626,1,44,OUT,87,2025-02-12
627,2,67,IN,21,2025-03-26
628,5,55,ADJUSTMENT,30,2025-04-14
629,2,24,OUT,56,2025-04-12
630,1,95,OUT,26,2025-04-26
631,5,55,OUT,91,2025-02-24
632,2,36,OUT,9,2025-05-28
633,1,69,IN,42,2025-02-20
634,4,15,OUT,63,2025-05-16
635,3,77,OUT,51,2025-05-31
636,1,45,OUT,59,2025-06-08
637,2,87,OUT,39,2025-06-07
638,5,11,OUT,41,2025-01-31
639,2,40,IN,48,2025-06-27
640,2,66,OUT,77,2025-02-05
641,5,50,OUT,63,2025-06-12
642,5,89,RETURN,23,2025-05-23
643,2,63,OUT,24,2025-03-22
644,4,80,IN,46,2025-01-03
645,4,18,IN,50,2025-05-24
646,5,84,OUT,88,2025-05-06
647,4,91,OUT,63,2025-02-12
648,1,73,IN,98,2025-02-26
649,3,5,OUT,69,2025-03-15
650,2,100,OUT,96,2025-05-07
651,5,66,IN,15,2025-03-10
652,5,47,OUT,97,2025-01-11
653,4,70,IN,55,2025-01-27
654,2,39,RETURN,5,2025-04-26
655,3,45,RETURN,12,2025-04-23
656,1,100,OUT,27,2025-05-31
657,3,91,OUT,55,2025-02-12
658,5,18,OUT,27,2025-01-16
659,5,45,OUT,77,2025-05-18
660,2,42,ADJUSTMENT,38,2025-03-16
661,5,35,ADJUSTMENT,66,2025-06-23
662,1,18,ADJUSTMENT,53,2025-01-16
663,3,84,IN,17,2025-03-05
664,2,92,OUT,32,2025-06-23
665,4,63,IN,81,2025-03-10
666,4,49,OUT,82,2025-01-24
667,4,66,OUT,89,2025-04-05
668,4,63,OUT,1,2025-01-24
669,4,82,OUT,46,2025-01-17
670,5,51,IN,55,2025-02-24
671,4,35,OUT,37,2025-03-28
672,5,74,IN,63,2025-03-29
673,1,6,IN,59,2025-01-05
674,1,21,OUT,1,2025-04-20
675,2,89,RETURN,84,2025-03-19
676,2,36,IN,47,2025-03-06
677,1,48,OUT,84,2025-02-12
678,1,51,OUT,93,2025-06-29
679,2,55,OUT,91,2025-01-25
680,1,28,OUT,17,2025-06-01
681,2,67,OUT,2,2025-01-03
682,3,16,ADJUSTMENT,55,2025-06-27
683,2,62,IN,50,2025-01-23
684,1,14,OUT,39,2025-02-05
685,4,100,OUT,18,2025-06-14
686,2,9,OUT,2,2025-06-06
687,2,57,OUT,28,2025-06-10
688,2,53,OUT,57,2025-02-25
689,1,13,IN,16,2025-05-31
690,4,45,ADJUSTMENT,41,2025-02-05
691,2,36,OUT,32,2025-05-22
692,5,77,OUT,37,2025-06-26
693,1,85,RETURN,27,2025-05-13
694,5,66,IN,51,2025-03-17
695,1,31,OUT,15,2025-03-03
696,4,82,OUT,68,2025-01-04
697,3,41,IN,73,2025-04-18
698,3,70,OUT,98,2025-05-01
699,1,3,OUT,2,2025-03-09
700,2,6,RETURN,51,2025-05-10
701,3,81,OUT,99,2025-04-17
702,4,90,OUT,82,2025-05-18
703,5,79,IN,11,2025-03-21
704,1,66,RETURN,20,2025-05-18
705,3,51,OUT,98,2025-06-16
706,1,40,OUT,94,2025-03-03
707,1,32,IN,56,2025-01-30
708,4,79,OUT,40,2025-06-20
709,2,16,IN,18,2025-06-29
710,1,21,OUT,45,2025-05-14
711,5,93,OUT,48,2025-02-02
712,3,94,RETURN,99,2025-01-08
713,3,55,OUT,9,2025-03-09
714,5,81,IN,59,2025-05-11
715,3,8,OUT,73,2025-02-12
716,3,21,OUT,14,2025-05-27
717,1,30,OUT,1,2025-01-12
718,1,32,IN,47,2025-04-09
719,2,23,RETURN,5,2025-05-22
720,4,29,OUT,54,2025-03-23
721,3,10,OUT,16,2025-05-09
722,1,23,IN,67,2025-01-12
723,4,9,RETURN,37,2025-03-21
724,3,12,OUT,2,2025-04-05
725,2,38,OUT,39,2025-06-09
726,2,60,OUT,64,2025-02-20
727,5,98,OUT,20,2025-01-02
