ReturnID,OrderID,CustomerID,ProductID,ReturnedQuantity,Reason,Status,RefundAmount
52,100519,1725,90,1,Different Product Received,Approved,4
53,100519,1725,67,3,Different Product Received,Pending,1464
54,100519,1725,16,5,Color Mismatch,Rejected,70
55,100519,1725,59,2,Changed with Another Product,Rejected,190
56,100520,280,35,6,Color Mismatch,Refunded,2436
57,100530,1667,22,1,Color Mismatch,Refunded,3
58,100530,1667,51,2,Different Product Received,Rejected,1444
59,100541,1184,20,4,Changed with Another Product,Approved,404
60,100541,1184,12,1,Different Product Received,Rejected,730
61,100546,626,51,2,Changed with Another Product,Refunded,1444
62,100552,1314,85,3,Color Mismatch,Approved,1365
63,100552,1314,42,2,Different Product Received,Pending,432
64,100562,1119,28,5,Different Product Received,Pending,5855
65,100562,1119,71,3,Color Mismatch,Approved,21
66,100572,762,45,5,Changed with Another Product,Approved,695
67,100572,762,42,8,Changed with Another Product,Refunded,1728
68,100572,762,47,6,Color Mismatch,Pending,426
69,100572,762,25,4,Color Mismatch,Rejected,172
70,100591,1996,55,2,Color Mismatch,Rejected,2648
71,100595,479,76,2,Color Mismatch,Pending,280
72,100595,479,26,1,Different Product Received,Refunded,1201
73,100595,479,59,1,Different Product Received,Refunded,95
74,100595,479,92,6,Color Mismatch,Refunded,2856
75,100602,1139,37,4,Product Condition Not Good,Refunded,1972
76,100602,1139,23,2,Different Product Received,Pending,2120
77,100602,1139,87,1,Product Condition Not Good,Approved,429
78,100610,1810,59,1,Different Product Received,Refunded,95
79,100610,1810,81,5,Product Condition Not Good,Refunded,465
80,100628,280,42,4,Product Condition Not Good,Refunded,864
81,100628,280,92,2,Product Condition Not Good,Pending,952
82,100628,280,14,8,Changed with Another Product,Rejected,1240
83,100639,925,66,1,Changed with Another Product,Rejected,266
84,100639,925,59,3,Product Condition Not Good,Pending,285
85,100639,925,55,6,Product Condition Not Good,Refunded,7944
86,100639,925,71,4,Color Mismatch,Pending,28
87,100639,925,24,2,Color Mismatch,Approved,1734
88,100653,1541,88,3,Product Condition Not Good,Approved,1332
89,100668,1838,81,6,Product Condition Not Good,Refunded,558
90,100694,1722,94,6,Different Product Received,Rejected,528
91,100695,263,42,7,Color Mismatch,Rejected,1512
92,100695,263,56,5,Changed with Another Product,Rejected,445
93,100699,1822,50,1,Different Product Received,Refunded,648
94,100709,265,67,3,Changed with Another Product,Approved,1464
95,100709,265,27,1,Changed with Another Product,Approved,209
96,100717,1713,86,6,Product Condition Not Good,Approved,150
97,100717,1713,97,3,Different Product Received,Rejected,105
98,100717,1713,74,3,Different Product Received,Refunded,27
99,100720,862,66,5,Different Product Received,Refunded,1330
100,100723,1441,55,1,Changed with Another Product,Approved,1324
101,100723,1441,94,7,Product Condition Not Good,Pending,616
102,100770,1544,82,2,Product Condition Not Good,Refunded,18
103,100778,542,57,10,Changed with Another Product,Pending,7120
104,100778,542,33,2,Color Mismatch,Approved,294
105,100778,542,53,8,Product Condition Not Good,Rejected,3560
106,100779,677,32,4,Color Mismatch,Refunded,356
107,100779,677,61,4,Different Product Received,Approved,4852
108,100779,677,55,2,Product Condition Not Good,Pending,2648
109,100779,677,36,1,Changed with Another Product,Refunded,220
110,100779,677,88,2,Changed with Another Product,Approved,888
111,100792,1698,48,1,Changed with Another Product,Pending,421
112,100804,431,5,2,Changed with Another Product,Pending,2658
113,100804,431,24,6,Changed with Another Product,Refunded,5202
114,100848,1792,39,1,Product Condition Not Good,Approved,1180
115,100876,139,1,3,Product Condition Not Good,Rejected,693
116,100903,249,43,1,Different Product Received,Approved,1212
117,100918,912,46,3,Product Condition Not Good,Refunded,3231
118,100918,912,57,1,Different Product Received,Pending,712
119,100918,912,67,5,Product Condition Not Good,Pending,2440
120,100935,1621,60,2,Different Product Received,Pending,494
121,100935,1621,6,2,Color Mismatch,Approved,1262
122,100935,1621,63,2,Changed with Another Product,Pending,14
123,100935,1621,74,9,Product Condition Not Good,Rejected,81
124,100935,1621,59,2,Color Mismatch,Refunded,190
125,100949,1144,84,4,Product Condition Not Good,Rejected,5260
126,100949,1144,2,4,Different Product Received,Refunded,3168
127,100949,1144,41,2,Different Product Received,Refunded,8
128,100949,1144,50,1,Different Product Received,Rejected,648
129,100964,959,23,1,Color Mismatch,Pending,1060
130,100964,959,94,7,Changed with Another Product,Rejected,616
131,100964,959,20,2,Changed with Another Product,Rejected,202
132,101028,1566,53,2,Color Mismatch,Refunded,890
133,101028,1566,99,2,Product Condition Not Good,Approved,2664
134,101035,816,46,3,Color Mismatch,Approved,3231
135,101035,816,52,1,Different Product Received,Pending,229
136,101045,631,63,1,Product Condition Not Good,Pending,7
137,101045,631,62,2,Different Product Received,Rejected,742
138,101045,631,38,4,Different Product Received,Pending,4772
139,101045,631,37,8,Color Mismatch,Pending,3944
140,101070,944,64,3,Different Product Received,Rejected,546
141,101089,653,69,4,Changed with Another Product,Refunded,2848
142,101089,653,11,1,Product Condition Not Good,Rejected,573
143,101090,502,15,5,Changed with Another Product,Rejected,3655
144,101090,502,8,3,Different Product Received,Pending,597
145,101130,1096,77,1,Changed with Another Product,Pending,894
146,101130,1096,71,1,Color Mismatch,Rejected,7
147,101157,1576,66,5,Different Product Received,Pending,1330
148,101172,1426,86,4,Product Condition Not Good,Refunded,100
149,101172,1426,53,4,Changed with Another Product,Pending,1780
150,101210,1558,86,7,Changed with Another Product,Pending,175
151,101225,1937,24,4,Color Mismatch,Pending,3468
152,101225,1937,78,3,Color Mismatch,Approved,3354
153,101225,1937,74,8,Product Condition Not Good,Pending,72
154,101246,650,31,3,Changed with Another Product,Rejected,252
155,101250,1835,32,1,Changed with Another Product,Pending,89
156,101254,113,29,6,Color Mismatch,Pending,1236
157,101254,113,6,2,Product Condition Not Good,Pending,1262
158,101254,113,27,4,Changed with Another Product,Refunded,836
159,101254,113,49,9,Changed with Another Product,Approved,549
160,101257,1236,60,1,Color Mismatch,Rejected,247
161,101257,1236,49,3,Product Condition Not Good,Refunded,183
162,101302,672,78,1,Product Condition Not Good,Approved,1118
163,101302,672,70,6,Product Condition Not Good,Approved,7488
164,101306,216,21,2,Color Mismatch,Refunded,464
165,101306,216,37,5,Different Product Received,Refunded,2465
166,101306,216,63,1,Different Product Received,Rejected,7
167,101306,216,51,3,Color Mismatch,Rejected,2166
168,101306,216,6,1,Changed with Another Product,Refunded,631
169,101318,704,81,4,Changed with Another Product,Pending,372
170,101339,1641,36,3,Different Product Received,Approved,660
171,101380,537,89,9,Different Product Received,Approved,1116
172,101421,83,33,5,Product Condition Not Good,Refunded,735
173,101437,429,87,8,Changed with Another Product,Approved,3432
174,101437,429,26,4,Different Product Received,Approved,4804
175,101468,1543,88,4,Changed with Another Product,Approved,1776
176,101485,1366,53,2,Color Mismatch,Rejected,890
177,101485,1366,94,5,Changed with Another Product,Refunded,440
178,101485,1366,4,6,Product Condition Not Good,Rejected,5238
179,101491,868,83,1,Different Product Received,Pending,1206
180,101491,868,40,3,Changed with Another Product,Pending,726
181,101491,868,72,4,Different Product Received,Rejected,428
182,101491,868,90,3,Different Product Received,Approved,12
183,101548,562,83,5,Different Product Received,Rejected,6030
184,101582,696,96,3,Different Product Received,Pending,60
185,101593,1539,41,1,Changed with Another Product,Refunded,4
186,101656,356,66,8,Color Mismatch,Pending,2128
187,101656,356,8,2,Product Condition Not Good,Rejected,398
188,101656,356,2,5,Different Product Received,Pending,3960
189,101684,9,30,2,Product Condition Not Good,Refunded,2520
190,101684,9,49,3,Color Mismatch,Approved,183
191,101684,9,77,1,Color Mismatch,Pending,894
192,101728,237,83,6,Product Condition Not Good,Approved,7236
193,101729,1517,5,2,Different Product Received,Pending,2658
194,101729,1517,44,6,Product Condition Not Good,Approved,1008
195,101729,1517,51,4,Changed with Another Product,Approved,2888
196,101747,19,40,5,Product Condition Not Good,Rejected,1210
197,101747,19,89,1,Color Mismatch,Pending,124
198,101747,19,70,2,Color Mismatch,Approved,2496
199,101767,641,12,1,Different Product Received,Refunded,730
200,101767,641,85,1,Different Product Received,Rejected,455
201,101767,641,35,1,Changed with Another Product,Approved,406
202,101776,1975,15,4,Changed with Another Product,Rejected,2924
203,101776,1975,74,1,Different Product Received,Pending,9
204,101778,183,49,5,Color Mismatch,Rejected,305
205,101778,183,85,1,Product Condition Not Good,Pending,455
206,101795,1439,63,4,Color Mismatch,Approved,28
207,101806,15,15,2,Product Condition Not Good,Rejected,1462
208,101807,767,31,4,Color Mismatch,Rejected,336
209,101807,767,17,4,Product Condition Not Good,Approved,2052
210,101826,126,93,4,Different Product Received,Pending,4856
211,101826,126,87,6,Changed with Another Product,Pending,2574
212,101826,126,38,3,Changed with Another Product,Approved,3579
213,101826,126,80,3,Color Mismatch,Pending,234
214,101860,636,1,1,Changed with Another Product,Approved,231
215,101860,636,97,1,Product Condition Not Good,Approved,35
216,101860,636,45,4,Different Product Received,Refunded,556
217,101860,636,37,6,Color Mismatch,Refunded,2958
218,101863,1236,20,1,Product Condition Not Good,Pending,101
219,101863,1236,31,1,Different Product Received,Rejected,84
220,101884,1626,42,2,Color Mismatch,Approved,432
221,101884,1626,21,5,Different Product Received,Pending,1160
222,101891,432,70,3,Product Condition Not Good,Approved,3744
223,101895,301,41,1,Product Condition Not Good,Pending,4
224,101895,301,52,1,Changed with Another Product,Refunded,229
225,101895,301,88,3,Changed with Another Product,Refunded,1332
226,101895,301,1,6,Color Mismatch,Refunded,1386
227,101917,949,42,2,Product Condition Not Good,Refunded,432
228,101986,992,38,3,Color Mismatch,Refunded,3579
229,101986,992,76,10,Color Mismatch,Approved,1400
230,102002,251,2,1,Product Condition Not Good,Pending,792
231,102050,384,14,8,Changed with Another Product,Refunded,1240
232,102053,722,6,1,Changed with Another Product,Pending,631
233,102080,409,60,1,Different Product Received,Pending,247
234,102080,409,5,8,Different Product Received,Approved,10632
235,102080,409,18,1,Color Mismatch,Rejected,1368
236,102080,409,26,5,Changed with Another Product,Refunded,6005
237,102080,409,6,1,Product Condition Not Good,Rejected,631
238,102089,1218,51,6,Product Condition Not Good,Rejected,4332
239,102089,1218,43,2,Color Mismatch,Refunded,2424
240,102092,458,82,6,Changed with Another Product,Refunded,54
241,102092,458,22,1,Color Mismatch,Rejected,3
242,102108,1344,41,1,Color Mismatch,Rejected,4
243,102108,1344,51,1,Color Mismatch,Approved,722
244,102112,1957,2,1,Color Mismatch,Refunded,792
245,102129,1787,48,1,Product Condition Not Good,Refunded,421
246,102129,1787,92,2,Color Mismatch,Refunded,952
247,102145,157,32,2,Different Product Received,Approved,178
248,102176,650,14,1,Product Condition Not Good,Refunded,155
249,102176,650,82,2,Product Condition Not Good,Refunded,18
250,102176,650,3,1,Changed with Another Product,Pending,1389
251,102209,1668,98,8,Changed with Another Product,Rejected,24
252,102220,670,27,4,Color Mismatch,Refunded,836
253,102222,888,24,1,Color Mismatch,Approved,867
254,102222,888,59,1,Product Condition Not Good,Refunded,95
255,102228,857,20,1,Different Product Received,Approved,101
256,102228,857,67,4,Changed with Another Product,Refunded,1952
257,102250,1676,76,2,Changed with Another Product,Pending,280
258,102250,1676,37,5,Color Mismatch,Rejected,2465
259,102260,295,65,6,Color Mismatch,Rejected,3912
260,102260,295,73,4,Different Product Received,Rejected,4252
261,102260,295,23,6,Color Mismatch,Approved,6360
262,102260,295,64,3,Color Mismatch,Approved,546
263,102265,429,37,3,Different Product Received,Pending,1479
264,102265,429,33,8,Changed with Another Product,Rejected,1176
265,102265,429,69,1,Changed with Another Product,Refunded,712
266,102279,321,60,9,Color Mismatch,Rejected,2223
267,102279,321,95,3,Changed with Another Product,Rejected,18
268,102300,90,83,1,Different Product Received,Pending,1206
269,102300,90,54,1,Changed with Another Product,Pending,613
270,102327,1437,30,3,Changed with Another Product,Rejected,3780
271,102333,83,34,3,Product Condition Not Good,Rejected,264
272,102333,83,43,6,Product Condition Not Good,Pending,7272
273,102333,83,68,2,Changed with Another Product,Pending,1906
274,102333,83,39,1,Color Mismatch,Approved,1180
275,102373,1170,7,1,Product Condition Not Good,Pending,201
276,102387,598,75,7,Product Condition Not Good,Pending,7553
277,102387,598,12,2,Product Condition Not Good,Approved,1460
278,102387,598,69,1,Changed with Another Product,Pending,712
279,102399,841,2,3,Color Mismatch,Rejected,2376
280,102399,841,94,3,Color Mismatch,Rejected,264
281,102399,841,70,5,Changed with Another Product,Pending,6240
282,102399,841,50,5,Changed with Another Product,Pending,3240
283,102399,841,6,4,Changed with Another Product,Approved,2524
284,102402,187,13,4,Color Mismatch,Rejected,84
285,102418,564,80,1,Color Mismatch,Rejected,78
286,102440,205,22,1,Different Product Received,Pending,3
287,102460,1571,96,2,Color Mismatch,Rejected,40
288,102460,1571,15,4,Color Mismatch,Pending,2924
289,102464,498,57,1,Product Condition Not Good,Pending,712
290,102473,1854,4,3,Color Mismatch,Pending,2619
291,102473,1854,45,7,Changed with Another Product,Pending,973
292,102473,1854,1,1,Changed with Another Product,Refunded,231
293,102477,1704,27,5,Different Product Received,Refunded,1045
294,102480,1158,100,2,Changed with Another Product,Pending,716
295,102482,1572,23,3,Product Condition Not Good,Rejected,3180
296,102482,1572,75,2,Product Condition Not Good,Rejected,2158
297,102529,699,2,1,Color Mismatch,Approved,792
298,102529,699,83,4,Product Condition Not Good,Refunded,4824
299,102529,699,80,1,Product Condition Not Good,Pending,78
300,102531,1316,97,6,Changed with Another Product,Pending,210
301,102531,1316,5,2,Different Product Received,Refunded,2658
302,102531,1316,54,4,Color Mismatch,Rejected,2452
303,102546,1973,74,3,Product Condition Not Good,Rejected,27
304,102556,1726,24,2,Product Condition Not Good,Approved,1734
305,102569,939,55,4,Different Product Received,Refunded,5296
306,102569,939,1,2,Product Condition Not Good,Refunded,462
307,102569,939,76,1,Changed with Another Product,Rejected,140
308,102571,721,31,7,Product Condition Not Good,Refunded,588
309,102578,1225,98,1,Changed with Another Product,Rejected,3
310,102578,1225,89,5,Product Condition Not Good,Pending,620
311,102591,643,3,4,Color Mismatch,Refunded,5556
312,102593,1714,21,1,Color Mismatch,Refunded,232
313,102593,1714,86,5,Changed with Another Product,Pending,125
314,102593,1714,96,1,Product Condition Not Good,Refunded,20
315,102598,441,20,1,Color Mismatch,Pending,101
316,102598,441,43,2,Changed with Another Product,Refunded,2424
317,102598,441,74,2,Product Condition Not Good,Refunded,18
318,102605,972,69,2,Color Mismatch,Refunded,1424
319,102605,972,96,1,Product Condition Not Good,Approved,20
320,102605,972,17,2,Color Mismatch,Pending,1026
321,102611,670,36,2,Changed with Another Product,Pending,440
322,102611,670,70,5,Changed with Another Product,Refunded,6240
323,102611,670,16,1,Product Condition Not Good,Pending,14
324,102621,734,53,2,Color Mismatch,Refunded,890
325,102621,734,24,3,Different Product Received,Refunded,2601
326,102629,1095,69,5,Color Mismatch,Refunded,3560
327,102629,1095,18,1,Different Product Received,Pending,1368
328,102631,1074,72,1,Different Product Received,Approved,107
329,102674,805,80,1,Color Mismatch,Rejected,78
330,102698,653,20,3,Product Condition Not Good,Rejected,303
331,102698,653,18,5,Changed with Another Product,Rejected,6840
332,102698,653,59,2,Different Product Received,Rejected,190
333,102698,653,31,6,Different Product Received,Refunded,504
334,102802,1782,82,3,Changed with Another Product,Refunded,27
335,102828,147,29,1,Different Product Received,Approved,206
336,102834,1005,38,3,Changed with Another Product,Approved,3579
337,102834,1005,11,1,Color Mismatch,Rejected,573
338,102834,1005,29,5,Different Product Received,Approved,1030
339,102834,1005,46,3,Product Condition Not Good,Rejected,3231
340,102834,1005,24,2,Color Mismatch,Refunded,1734
341,102838,1592,49,1,Changed with Another Product,Pending,61
342,102838,1592,27,1,Color Mismatch,Refunded,209
343,102848,271,37,7,Changed with Another Product,Approved,3451
344,102848,271,43,1,Product Condition Not Good,Pending,1212
345,102859,1763,45,4,Different Product Received,Rejected,556
346,102859,1763,56,1,Changed with Another Product,Refunded,89
347,102859,1763,77,2,Color Mismatch,Rejected,1788
348,102882,504,72,4,Product Condition Not Good,Refunded,428
349,102887,876,61,6,Changed with Another Product,Refunded,7278
350,102906,447,57,3,Color Mismatch,Pending,2136
351,102906,447,8,1,Different Product Received,Pending,199
352,102906,447,11,5,Different Product Received,Refunded,2865
353,102906,447,19,3,Different Product Received,Approved,4281
354,102930,1637,82,1,Product Condition Not Good,Rejected,9
355,102945,208,83,2,Product Condition Not Good,Pending,2412
356,102970,881,56,2,Product Condition Not Good,Rejected,178
357,102999,6,35,1,Different Product Received,Pending,406
358,103006,1826,23,1,Color Mismatch,Refunded,1060
359,103006,1826,31,3,Changed with Another Product,Approved,252
360,103012,1149,59,2,Changed with Another Product,Refunded,190
361,103012,1149,77,2,Different Product Received,Approved,1788
362,103036,1513,25,2,Color Mismatch,Rejected,86
363,103036,1513,88,5,Color Mismatch,Pending,2220
364,103044,141,99,1,Changed with Another Product,Refunded,1332
365,103063,299,85,7,Different Product Received,Refunded,3185
366,103078,699,34,1,Color Mismatch,Approved,88
367,103089,1253,28,1,Different Product Received,Refunded,1171
368,103127,1039,40,6,Different Product Received,Refunded,1452
369,103127,1039,8,4,Product Condition Not Good,Rejected,796
370,103165,1073,82,2,Different Product Received,Approved,18
371,103189,1483,33,4,Product Condition Not Good,Approved,588
372,103191,1190,38,3,Different Product Received,Rejected,3579
373,103191,1190,16,6,Different Product Received,Pending,84
374,103192,1464,67,3,Product Condition Not Good,Pending,1464
375,103195,1097,5,2,Different Product Received,Rejected,2658
376,103195,1097,63,9,Product Condition Not Good,Rejected,63
377,103195,1097,90,1,Product Condition Not Good,Refunded,4
378,103195,1097,56,5,Different Product Received,Approved,445
379,103195,1097,70,6,Product Condition Not Good,Refunded,7488
380,103200,969,35,2,Changed with Another Product,Refunded,812
381,103219,601,89,3,Product Condition Not Good,Approved,372
382,103249,1395,24,2,Product Condition Not Good,Pending,1734
383,103249,1395,98,1,Different Product Received,Refunded,3
384,103249,1395,76,3,Changed with Another Product,Refunded,420
385,103266,1913,93,7,Product Condition Not Good,Refunded,8498
386,103269,1177,60,5,Changed with Another Product,Rejected,1235
387,103269,1177,41,2,Color Mismatch,Refunded,8
388,103270,656,30,6,Different Product Received,Rejected,7560
389,103271,1090,70,9,Color Mismatch,Approved,11232
390,103290,992,77,1,Different Product Received,Rejected,894
391,103290,992,29,1,Changed with Another Product,Pending,206
392,103290,992,53,2,Changed with Another Product,Refunded,890
393,103290,992,5,10,Color Mismatch,Rejected,13290
394,103297,1428,91,2,Different Product Received,Pending,6
395,103297,1428,74,5,Color Mismatch,Pending,45
396,103302,1916,30,1,Different Product Received,Pending,1260
397,103302,1916,32,2,Color Mismatch,Rejected,178
398,103302,1916,36,1,Color Mismatch,Refunded,220
399,103302,1916,44,5,Different Product Received,Approved,840
400,103306,1632,4,6,Color Mismatch,Refunded,5238
401,103307,1962,46,5,Color Mismatch,Rejected,5385
402,103329,109,32,5,Color Mismatch,Pending,445
403,103355,50,19,3,Color Mismatch,Refunded,4281
404,103355,50,53,3,Product Condition Not Good,Rejected,1335
405,103355,50,63,4,Changed with Another Product,Pending,28
406,103355,50,93,1,Color Mismatch,Approved,1214
407,103355,50,39,2,Changed with Another Product,Pending,2360
408,103369,47,29,2,Product Condition Not Good,Rejected,412
409,103370,1761,8,4,Product Condition Not Good,Rejected,796
410,103391,1633,1,2,Product Condition Not Good,Pending,462
411,103391,1633,11,1,Different Product Received,Approved,573
412,103391,1633,86,6,Different Product Received,Refunded,150
413,103405,1646,46,3,Color Mismatch,Pending,3231
414,103445,220,94,3,Different Product Received,Pending,264
415,103445,220,37,2,Product Condition Not Good,Pending,986
416,103445,220,75,5,Product Condition Not Good,Pending,5395
417,103447,771,51,5,Color Mismatch,Approved,3610
418,103447,771,4,2,Different Product Received,Approved,1746
419,103447,771,94,3,Product Condition Not Good,Pending,264
420,103447,771,14,4,Color Mismatch,Approved,620
421,103454,912,98,2,Color Mismatch,Pending,6
422,103480,1990,57,1,Different Product Received,Approved,712
423,103490,1896,61,1,Product Condition Not Good,Refunded,1213
424,103496,1633,7,4,Product Condition Not Good,Rejected,804
425,103496,1633,45,4,Changed with Another Product,Approved,556
426,103496,1633,20,1,Product Condition Not Good,Rejected,101
427,103522,708,78,1,Product Condition Not Good,Refunded,1118
428,103522,708,62,5,Different Product Received,Approved,1855
429,103532,1660,76,3,Color Mismatch,Refunded,420
430,103532,1660,78,4,Different Product Received,Refunded,4472
431,103532,1660,92,7,Different Product Received,Approved,3332
432,103532,1660,68,8,Color Mismatch,Refunded,7624
433,103534,921,21,4,Color Mismatch,Approved,928
434,103549,8,11,2,Color Mismatch,Rejected,1146
435,103562,48,95,2,Changed with Another Product,Rejected,12
436,103563,272,38,2,Different Product Received,Rejected,2386
437,103563,272,30,10,Color Mismatch,Refunded,12600
438,103563,272,83,2,Product Condition Not Good,Refunded,2412
439,103563,272,3,4,Color Mismatch,Approved,5556
440,103565,755,18,4,Color Mismatch,Rejected,5472
441,103570,363,6,5,Color Mismatch,Approved,3155
442,103572,1806,39,9,Product Condition Not Good,Pending,10620
443,103572,1806,47,2,Color Mismatch,Approved,142
444,103578,564,45,2,Different Product Received,Refunded,278
445,103578,564,92,4,Product Condition Not Good,Rejected,1904
446,103578,564,8,1,Product Condition Not Good,Pending,199
447,103586,177,1,9,Color Mismatch,Pending,2079
448,103586,177,94,2,Color Mismatch,Refunded,176
449,103595,1661,66,2,Changed with Another Product,Approved,532
450,103596,529,33,4,Color Mismatch,Approved,588
451,103596,529,48,2,Product Condition Not Good,Approved,842
452,103596,529,11,4,Color Mismatch,Approved,2292
453,103606,738,75,3,Different Product Received,Refunded,3237
454,103613,1299,36,1,Color Mismatch,Refunded,220
455,103656,723,74,5,Changed with Another Product,Refunded,45
456,103702,1089,46,1,Color Mismatch,Pending,1077
457,103702,1089,80,3,Changed with Another Product,Pending,234
458,103716,491,36,1,Product Condition Not Good,Pending,220
459,103738,407,37,2,Product Condition Not Good,Rejected,986
460,103738,407,6,3,Different Product Received,Approved,1893
461,103758,118,1,9,Changed with Another Product,Refunded,2079
462,103758,118,93,1,Product Condition Not Good,Pending,1214
463,103758,118,78,1,Different Product Received,Approved,1118
464,103790,951,2,1,Changed with Another Product,Approved,792
465,103799,955,49,3,Product Condition Not Good,Pending,183
466,103799,955,85,1,Different Product Received,Pending,455
467,103799,955,77,1,Different Product Received,Rejected,894
468,103799,955,80,2,Changed with Another Product,Refunded,156
469,103799,955,52,2,Color Mismatch,Refunded,458
470,103830,1344,23,2,Different Product Received,Refunded,2120
471,103838,1249,12,3,Different Product Received,Pending,2190
472,103838,1249,40,2,Changed with Another Product,Approved,484
473,103838,1249,58,6,Different Product Received,Rejected,1482
474,103838,1249,85,9,Color Mismatch,Rejected,4095
475,103841,276,50,2,Changed with Another Product,Rejected,1296
476,103841,276,72,1,Product Condition Not Good,Approved,107
477,103841,276,63,2,Different Product Received,Approved,14
478,103858,808,80,2,Color Mismatch,Approved,156
479,103858,808,13,1,Color Mismatch,Rejected,21
480,103858,808,38,6,Product Condition Not Good,Refunded,7158
481,103889,1054,3,3,Changed with Another Product,Pending,4167
482,103889,1054,78,8,Changed with Another Product,Pending,8944
483,103889,1054,4,1,Color Mismatch,Approved,873
484,103889,1054,95,1,Product Condition Not Good,Pending,6
485,103898,1537,23,3,Changed with Another Product,Refunded,3180
486,103906,519,38,3,Different Product Received,Approved,3579
487,103906,519,86,1,Product Condition Not Good,Rejected,25
488,103924,215,80,2,Color Mismatch,Approved,156
489,103940,1187,13,4,Product Condition Not Good,Rejected,84
490,103942,1566,51,1,Changed with Another Product,Pending,722
491,103942,1566,11,5,Product Condition Not Good,Pending,2865
492,103942,1566,62,6,Color Mismatch,Refunded,2226
493,103944,1146,40,1,Color Mismatch,Rejected,242
494,103950,670,63,3,Color Mismatch,Pending,21
495,103950,670,97,3,Color Mismatch,Rejected,105
496,103950,670,23,3,Different Product Received,Pending,3180
497,103950,670,93,7,Color Mismatch,Refunded,8498
498,103967,992,4,3,Product Condition Not Good,Refunded,2619
499,103980,1891,63,1,Product Condition Not Good,Pending,7
500,103980,1891,55,6,Changed with Another Product,Pending,7944
501,103993,1001,16,5,Changed with Another Product,Refunded,70
502,103993,1001,23,5,Changed with Another Product,Pending,5300
503,103993,1001,98,5,Different Product Received,Approved,15
504,103993,1001,9,2,Changed with Another Product,Approved,404
505,103999,129,57,3,Color Mismatch,Rejected,2136
506,103999,129,60,2,Changed with Another Product,Refunded,494
507,103999,129,13,9,Product Condition Not Good,Refunded,189
508,103999,129,77,1,Changed with Another Product,Approved,894
509,103999,129,80,4,Product Condition Not Good,Refunded,312
510,104002,1049,32,2,Different Product Received,Approved,178
511,104018,613,37,6,Product Condition Not Good,Approved,2958
512,104018,613,7,6,Changed with Another Product,Rejected,1206
513,104018,613,56,1,Color Mismatch,Refunded,89
514,104038,1911,9,5,Different Product Received,Rejected,1010
515,104038,1911,57,1,Different Product Received,Approved,712
516,104038,1911,22,5,Changed with Another Product,Approved,15
517,104038,1911,97,2,Different Product Received,Rejected,70
